,Mild,Severe,
 
,Estimate,SE,z,p-value,Estimate,SE,z,p-value,

,Factor Loadings,
 Helplessness,

People feel they need to do something to help me because I have a disability,1.00+,,,,1.00+,,,,

People express admiration for me or describe me as inspirational simply because I live with a disability,0.94,0.10,9.19,.000,1.21,0.17,7.15,.000,

People express pity for me because I have a disability,0.79,0.10,7.84,.000,1.06,0.17,6.37,.000,

People do not expect me to have a job or volunteer activities because I have a disability,0.76,0.10,7.85,.000,0.82,0.14,5.81,.000,

People offer me unsolicited unwanted or unneeded help because I have a disability,0.99,0.11,8.82,.000,1.27,0.19,6.81,.000,

 Minimization,

People are unwilling to accept that I have a disability because I appear able-bodied,1.00+,,,,1.00+,,,,

People minimize my disability or suggest that it could be worse,0.58,0.14,4.01,.000,0.64,0.22,2.91,.004,

People act as if accomodations for my disability are unnecessary,0.56,0.14,4.05,.000,0.63,0.22,2.90,.004,

 DenialPersonhood,

People don't see me as a whole person because I have a disability,1.00+,,,,1.00+,,,,

People act as if I am nothing more than my disability,1.37,0.15,9.39,.000,0.90,0.14,6.50,.000,

People speak to me as if I am a child or do not take me seriously because I have a disability,0.95,0.11,8.62,.000,0.78,0.12,6.34,.000,

People assume I have low intelligence because I have a disability,0.96,0.13,7.55,.000,0.67,0.14,4.85,.000,

Because I have a disability people attempt to make decisions fro me that I could make myself,0.85,0.12,7.01,.000,0.69,0.14,4.98,.000,

 Otherization,

People think I should not date or pursue sexual relationships because I have a disability,1.00+,,,,1.00+,,,,

People indicate they would not date a person with a disability,0.81,0.08,9.92,.000,0.77,0.10,7.96,.000,

People suggest that I cannot or should not have children because I have a disability,0.82,0.08,10.04,.000,0.85,0.11,8.05,.000,

People stare at me because I have a disability,0.59,0.08,7.59,.000,0.64,0.10,6.48,.000,

Because I have a disability people seem surprised to see me outside my home,0.53,0.08,6.90,.000,0.44,0.09,5.06,.000,

Because I have a disability people assume I have an extraordinary gift or talent,0.53,0.07,7.09,.000,0.42,0.09,4.69,.000,

People suggest that living with a disability would not be a worthwhile existence,0.40,0.08,5.01,.000,0.53,0.11,4.94,.000,

,Intercepts,

People feel they need to do something to help me because I have a disability,2.81,0.04,74.77,.000,3.04,0.05,57.03,.000,

People express admiration for me or describe me as inspirational simply because I live with a disability,2.46,0.04,69.69,.000,2.70,0.05,55.62,.000,

People express pity for me because I have a disability,2.26,0.04,59.87,.000,2.55,0.05,47.47,.000,

People do not expect me to have a job or volunteer activities because I have a disability,2.49,0.04,69.21,.000,2.74,0.05,56.99,.000,

People offer me unsolicited unwanted or unneeded help because I have a disability,2.26,0.04,57.17,.000,2.47,0.06,43.47,.000,

People are unwilling to accept that I have a disability because I appear able-bodied,2.39,0.04,67.76,.000,2.67,0.05,52.53,.000,

People minimize my disability or suggest that it could be worse,2.48,0.04,68.70,.000,2.65,0.05,58.22,.000,

People act as if accomodations for my disability are unnecessary,2.59,0.03,76.89,.000,2.75,0.05,60.25,.000,

People don't see me as a whole person because I have a disability,2.11,0.04,58.87,.000,2.19,0.05,43.71,.000,

People act as if I am nothing more than my disability,2.26,0.03,64.78,.000,2.48,0.05,52.17,.000,

People speak to me as if I am a child or do not take me seriously because I have a disability,2.31,0.03,78.93,.000,2.54,0.04,59.86,.000,

People assume I have low intelligence because I have a disability,2.65,0.04,71.72,.000,2.87,0.05,55.38,.000,

Because I have a disability people attempt to make decisions fro me that I could make myself,2.23,0.04,61.17,.000,2.39,0.05,46.15,.000,

People think I should not date or pursue sexual relationships because I have a disability,2.75,0.04,72.26,.000,2.83,0.05,54.17,.000,

People indicate they would not date a person with a disability,2.63,0.04,74.26,.000,2.70,0.05,56.08,.000,

People suggest that I cannot or should not have children because I have a disability,2.74,0.04,77.24,.000,2.68,0.05,51.39,.000,

People stare at me because I have a disability,2.71,0.04,75.70,.000,2.69,0.05,53.19,.000,

Because I have a disability people seem surprised to see me outside my home,2.74,0.04,76.43,.000,2.69,0.05,59.03,.000,

Because I have a disability people assume I have an extraordinary gift or talent,2.69,0.04,76.73,.000,2.68,0.05,56.77,.000,

People suggest that living with a disability would not be a worthwhile existence,2.60,0.04,67.73,.000,2.54,0.06,45.47,.000,

,Residual Variances,

People feel they need to do something to help me because I have a disability,0.52,0.04,13.43,.000,0.59,0.06,10.56,.000,

People express admiration for me or describe me as inspirational simply because I live with a disability,0.46,0.03,13.43,.000,0.35,0.04,8.54,.000,

People express pity for me because I have a disability,0.62,0.04,14.93,.000,0.58,0.06,10.34,.000,

People do not expect me to have a job or volunteer activities because I have a disability,0.56,0.04,14.92,.000,0.51,0.05,10.86,.000,

People offer me unsolicited unwanted or unneeded help because I have a disability,0.61,0.04,13.98,.000,0.57,0.06,9.63,.000,

People are unwilling to accept that I have a disability because I appear able-bodied,0.42,0.07,6.29,.000,0.54,0.08,6.78,.000,

People minimize my disability or suggest that it could be worse,0.62,0.04,13.98,.000,0.51,0.05,9.73,.000,

People act as if accomodations for my disability are unnecessary,0.54,0.04,13.74,.000,0.52,0.05,9.80,.000,

People don't see me as a whole person because I have a disability,0.54,0.04,14.98,.000,0.48,0.05,9.84,.000,

People act as if I am nothing more than my disability,0.35,0.03,11.85,.000,0.45,0.04,10.14,.000,

People speak to me as if I am a child or do not take me seriously because I have a disability,0.32,0.02,14.11,.000,0.37,0.04,10.32,.000,

People assume I have low intelligence because I have a disability,0.59,0.04,15.24,.000,0.66,0.06,11.29,.000,

Because I have a disability people attempt to make decisions fro me that I could make myself,0.61,0.04,15.56,.000,0.65,0.06,11.24,.000,

People think I should not date or pursue sexual relationships because I have a disability,0.47,0.04,12.63,.000,0.42,0.05,9.09,.000,

People indicate they would not date a person with a disability,0.47,0.03,14.07,.000,0.44,0.04,10.38,.000,

People suggest that I cannot or should not have children because I have a disability,0.47,0.03,13.95,.000,0.52,0.05,10.31,.000,

People stare at me because I have a disability,0.59,0.04,15.51,.000,0.58,0.05,11.12,.000,

Because I have a disability people seem surprised to see me outside my home,0.61,0.04,15.74,.000,0.52,0.05,11.51,.000,

Because I have a disability people assume I have an extraordinary gift or talent,0.58,0.04,15.68,.000,0.57,0.05,11.58,.000,

People suggest that living with a disability would not be a worthwhile existence,0.76,0.05,16.18,.000,0.79,0.07,11.53,.000,

,Latent Intercepts,

Helplessness,0.00+,,,,0.00+,,,,

Minimization,0.00+,,,,0.00+,,,,

DenialPersonhood,0.00+,,,,0.00+,,,,

Otherization,0.00+,,,,0.00+,,,,

,Latent Variances,

Helplessness,0.25,0.04,6.15,.000,0.22,0.05,4.13,.000,

Minimization,0.26,0.07,3.76,.000,0.19,0.08,2.47,.013,

DenialPersonhood,0.17,0.03,5.31,.000,0.23,0.05,4.43,.000,

Otherization,0.33,0.05,7.17,.000,0.36,0.06,5.78,.000,

,Latent Covariances,

Helplessness w/Minimization,0.06,0.02,2.74,.006,0.09,0.03,3.19,.001,

Helplessness w/DenialPersonhood,0.15,0.02,6.95,.000,0.14,0.03,4.84,.000,

Helplessness w/Otherization,0.19,0.03,7.32,.000,0.20,0.04,5.52,.000,

Minimization w/DenialPersonhood,0.08,0.02,4.53,.000,0.09,0.03,2.91,.004,

Minimization w/Otherization,0.10,0.02,4.14,.000,0.10,0.03,3.06,.002,

DenialPersonhood w/Otherization,0.18,0.02,7.40,.000,0.25,0.04,6.22,.000,

,Fit Indices,

chi^2,294.92(328),,,.905,,,,,

DF,328.00,,,,,,,,

PVALUE,0.91,,,,,,,,

CFI,1.00,,,,,,,,

RMSEA,0.00,,,,,,,,

RMSEA.CI.LOWER,0.00,,,,,,,,

RMSEA.CI.UPPER,0.01,,,,,,,,

SRMR,0.03,,,,,,,,

AIC,39520.10,,,,,,,,

BIC,40143.80,,,,,,,,

+Fixed parameter,



