"","lhs","op","rhs","est","se","pval","confint","est_sig","est_std","se_std","pval_std","confint_std","est_sig_std","label"
"1","AS","=~","AS1","1.000","0.000",NA,"[1.000, 1.000]","1.000","0.600","0.044","0.000","[0.515, 0.686]","0.600***","AS.BY.AS1"
"2","AS","=~","AS2","1.132","0.136","0.000","[0.865, 1.398]","1.132***","0.617","0.043","0.000","[0.533, 0.700]","0.617***","AS.BY.AS2"
"3","AS","=~","AS3","0.958","0.123","0.000","[0.716, 1.200]","0.958***","0.561","0.046","0.000","[0.471, 0.651]","0.561***","AS.BY.AS3"
"4","AS","=~","AS4","0.901","0.120","0.000","[0.666, 1.137]","0.901***","0.536","0.047","0.000","[0.443, 0.629]","0.536***","AS.BY.AS4"
"5","AS","=~","AS5","1.152","0.134","0.000","[0.890, 1.414]","1.152***","0.647","0.041","0.000","[0.568, 0.727]","0.647***","AS.BY.AS5"
"6","AS","=~","AS6","0.669","0.094","0.000","[0.486, 0.853]","0.669***","0.503","0.049","0.000","[0.406, 0.599]","0.503***","AS.BY.AS6"
"7","AS","=~","AS7","0.829","0.118","0.000","[0.598, 1.059]","0.829***","0.495","0.050","0.000","[0.397, 0.592]","0.495***","AS.BY.AS7"
"8","AS","=~","AS8","0.905","0.120","0.000","[0.670, 1.140]","0.905***","0.540","0.047","0.000","[0.448, 0.633]","0.540***","AS.BY.AS8"
"9","AS","=~","AS9","0.757","0.104","0.000","[0.553, 0.962]","0.757***","0.514","0.049","0.000","[0.418, 0.609]","0.514***","AS.BY.AS9"
"10","AF","=~","AF1","1.000","0.000",NA,"[1.000, 1.000]","1.000","0.563","0.053","0.000","[0.459, 0.668]","0.563***","AF.BY.AF1"
"11","AF","=~","AF2","1.195","0.174","0.000","[0.853, 1.536]","1.195***","0.621","0.051","0.000","[0.521, 0.721]","0.621***","AF.BY.AF2"
"12","AF","=~","AF3","0.738","0.137","0.000","[0.470, 1.006]","0.738***","0.422","0.059","0.000","[0.306, 0.538]","0.422***","AF.BY.AF3"
"13","AF","=~","AF4","1.138","0.171","0.000","[0.803, 1.472]","1.138***","0.584","0.052","0.000","[0.481, 0.687]","0.584***","AF.BY.AF4"
"14","MI","=~","MI1","1.000","0.000",NA,"[1.000, 1.000]","1.000","0.577","0.052","0.000","[0.475, 0.679]","0.577***","MI.BY.MI1"
"15","MI","=~","MI2","0.917","0.148","0.000","[0.628, 1.206]","0.917***","0.501","0.055","0.000","[0.392, 0.610]","0.501***","MI.BY.MI2"
"16","MI","=~","MI3","1.169","0.177","0.000","[0.822, 1.516]","1.169***","0.550","0.053","0.000","[0.446, 0.655]","0.550***","MI.BY.MI3"
"17","MI","=~","MI4","0.921","0.157","0.000","[0.613, 1.229]","0.921***","0.461","0.057","0.000","[0.349, 0.573]","0.461***","MI.BY.MI4"
"18","MI","=~","MI5","0.688","0.137","0.000","[0.419, 0.957]","0.688***","0.377","0.061","0.000","[0.258, 0.495]","0.377***","MI.BY.MI5"
"19","AUA","=~","AUA1","1.000","0.000",NA,"[1.000, 1.000]","1.000","0.543","0.052","0.000","[0.442, 0.644]","0.543***","AUA.BY.AUA1"
"20","AUA","=~","AUA2","0.981","0.140","0.000","[0.707, 1.256]","0.981***","0.608","0.048","0.000","[0.514, 0.703]","0.608***","AUA.BY.AUA2"
"21","AUA","=~","AUA3","0.785","0.122","0.000","[0.547, 1.023]","0.785***","0.528","0.052","0.000","[0.426, 0.631]","0.528***","AUA.BY.AUA3"
"22","AUA","=~","AUA4","1.083","0.152","0.000","[0.786, 1.380]","1.083***","0.630","0.047","0.000","[0.537, 0.723]","0.630***","AUA.BY.AUA4"
"23","AS1","~~","AS1","0.538","0.050","0.000","[0.441, 0.635]","0.538***","0.640","0.052","0.000","[0.537, 0.742]","0.640***","Variances.AS1"
"24","AS2","~~","AS2","0.632","0.059","0.000","[0.516, 0.748]","0.632***","0.620","0.052","0.000","[0.517, 0.723]","0.620***","Variances.AS2"
"25","AS3","~~","AS3","0.605","0.054","0.000","[0.499, 0.712]","0.605***","0.685","0.052","0.000","[0.584, 0.787]","0.685***","Variances.AS3"
"26","AS4","~~","AS4","0.610","0.054","0.000","[0.504, 0.716]","0.610***","0.713","0.051","0.000","[0.613, 0.812]","0.713***","Variances.AS4"
"27","AS5","~~","AS5","0.557","0.053","0.000","[0.452, 0.661]","0.557***","0.581","0.052","0.000","[0.478, 0.684]","0.581***","Variances.AS5"
"28","AS6","~~","AS6","0.401","0.035","0.000","[0.332, 0.470]","0.401***","0.747","0.050","0.000","[0.650, 0.844]","0.747***","Variances.AS6"
"29","AS7","~~","AS7","0.641","0.056","0.000","[0.532, 0.751]","0.641***","0.755","0.049","0.000","[0.659, 0.852]","0.755***","Variances.AS7"
"30","AS8","~~","AS8","0.601","0.053","0.000","[0.496, 0.706]","0.601***","0.708","0.051","0.000","[0.608, 0.808]","0.708***","Variances.AS8"
"31","AS9","~~","AS9","0.484","0.043","0.000","[0.401, 0.568]","0.484***","0.736","0.050","0.000","[0.638, 0.834]","0.736***","Variances.AS9"
"32","AF1","~~","AF1","0.548","0.055","0.000","[0.440, 0.657]","0.548***","0.683","0.060","0.000","[0.565, 0.800]","0.683***","Variances.AF1"
"33","AF2","~~","AF2","0.579","0.064","0.000","[0.454, 0.704]","0.579***","0.614","0.063","0.000","[0.490, 0.738]","0.614***","Variances.AF2"
"34","AF3","~~","AF3","0.642","0.057","0.000","[0.530, 0.754]","0.642***","0.822","0.050","0.000","[0.724, 0.920]","0.822***","Variances.AF3"
"35","AF4","~~","AF4","0.638","0.066","0.000","[0.509, 0.768]","0.638***","0.659","0.061","0.000","[0.539, 0.779]","0.659***","Variances.AF4"
"36","MI1","~~","MI1","0.465","0.047","0.000","[0.372, 0.558]","0.465***","0.667","0.060","0.000","[0.549, 0.785]","0.667***","Variances.MI1"
"37","MI2","~~","MI2","0.582","0.055","0.000","[0.475, 0.689]","0.582***","0.749","0.056","0.000","[0.640, 0.858]","0.749***","Variances.MI2"
"38","MI3","~~","MI3","0.731","0.072","0.000","[0.590, 0.872]","0.731***","0.697","0.059","0.000","[0.582, 0.812]","0.697***","Variances.MI3"
"39","MI4","~~","MI4","0.729","0.066","0.000","[0.599, 0.859]","0.729***","0.787","0.053","0.000","[0.684, 0.891]","0.787***","Variances.MI4"
"40","MI5","~~","MI5","0.665","0.058","0.000","[0.552, 0.778]","0.665***","0.858","0.046","0.000","[0.769, 0.948]","0.858***","Variances.MI5"
"41","AUA1","~~","AUA1","0.730","0.069","0.000","[0.595, 0.866]","0.730***","0.705","0.056","0.000","[0.595, 0.815]","0.705***","Variances.AUA1"
"42","AUA2","~~","AUA2","0.501","0.051","0.000","[0.401, 0.602]","0.501***","0.630","0.059","0.000","[0.514, 0.745]","0.630***","Variances.AUA2"
