,,Item Analysis,,,,"Principal Components Analysis: 
Orthogonal Rotation",,,,"Principal Components Analysis: 
Oblique Rotation",,,,,"Principal Axis Factoring:
Orthogonal Rotation",,,,"Principal Axis Factoring:
Oblique Rotation",,,
Items,r.drop,Objectified,Marginalized,Strong,Angry,objORTH,margORTH,strORTH,angORTH2,objOBLQ,margOBLQ,strOBLQ,angOBLQ,,PAF_OR_Obj,PAF_OR_Mar,PAF_OR_Str,PAF_OR_Ang,PAF_OB_Obj,PAF_OB_Mar,PAF_OB_Str,PAF_OB_Ang
Obj1,0.44,0.47,0.28,0.27,0.15,0.57,0.12,0.13,0.08,0.57,0.01,0.09,0.03,,0.49,0.14,0.16,0.04,0.51,0.00,0.08,0.00
Obj2,0.47,0.49,0.35,0.24,0.16,0.58,0.18,0.10,0.09,0.57,0.08,0.05,0.04,,0.51,0.18,0.13,0.09,0.53,0.02,0.04,0.05
Obj3,0.41,0.43,0.30,0.25,0.13,0.53,0.13,0.14,0.07,0.53,0.02,0.10,0.02,,0.45,0.14,0.15,0.07,0.46,0.00,0.07,0.04
Obj4,0.44,0.49,0.33,0.18,0.14,0.60,0.20,0.00,0.01,0.60,0.11,-0.05,-0.04,,0.54,0.19,0.04,0.03,0.56,0.05,-0.05,0.00
Obj5,0.43,0.44,0.30,0.26,0.15,0.53,0.18,0.20,-0.10,0.51,0.09,0.17,-0.15,,0.47,0.15,0.19,-0.02,0.47,0.02,0.12,-0.06
Obj6,0.34,0.35,0.22,0.17,0.18,0.49,-0.04,-0.02,0.43,0.53,-0.17,-0.05,0.40,,0.39,0.05,0.06,0.26,0.43,-0.11,-0.02,0.25
Obj7,0.47,0.43,0.36,0.26,0.24,0.46,0.28,0.13,0.15,0.42,0.19,0.07,0.10,,0.41,0.27,0.16,0.10,0.38,0.14,0.08,0.06
Obj8,0.38,0.45,0.31,0.14,0.05,0.57,0.27,0.00,-0.26,0.55,0.22,-0.05,-0.32,,0.52,0.23,0.03,-0.18,0.53,0.15,-0.05,-0.22
Obj9,0.34,0.37,0.22,0.20,0.11,0.47,0.05,0.21,-0.05,0.46,-0.04,0.19,-0.09,,0.38,0.07,0.19,-0.01,0.39,-0.05,0.14,-0.04
Obj10,0.35,0.39,0.22,0.17,0.14,0.54,0.02,0.00,0.17,0.58,-0.09,-0.04,0.13,,0.44,0.06,0.06,0.12,0.48,-0.08,-0.02,0.10
Marg1,0.49,0.33,0.60,0.21,0.28,0.11,0.78,0.06,0.05,-0.03,0.81,-0.03,0.01,,0.13,0.77,0.08,0.02,-0.03,0.81,-0.03,-0.02
Marg2,0.50,0.32,0.52,0.32,0.33,0.09,0.61,0.28,0.18,-0.04,0.60,0.21,0.14,,0.13,0.53,0.30,0.15,-0.01,0.49,0.22,0.12
Marg3,0.42,0.30,0.46,0.22,0.23,0.13,0.60,0.16,0.02,0.02,0.60,0.08,-0.02,,0.18,0.46,0.16,0.08,0.08,0.43,0.09,0.05
Marg4,0.41,0.33,0.42,0.15,0.24,0.24,0.56,-0.07,0.11,0.16,0.55,-0.16,0.07,,0.26,0.45,-0.01,0.13,0.20,0.40,-0.11,0.11
Marg5,0.47,0.36,0.50,0.26,0.22,0.20,0.60,0.15,0.04,0.09,0.59,0.07,0.00,,0.23,0.49,0.16,0.07,0.14,0.45,0.08,0.03
Marg6,0.46,0.40,0.41,0.22,0.21,0.37,0.40,0.03,0.18,0.32,0.35,-0.04,0.13,,0.35,0.35,0.08,0.16,0.31,0.25,-0.02,0.13
Marg7,0.33,0.25,0.37,0.13,0.19,0.10,0.51,0.00,0.12,0.02,0.52,-0.06,0.09,,0.14,0.38,0.07,0.10,0.07,0.36,0.00,0.08
Strong1,0.37,0.28,0.26,0.39,0.16,0.16,0.19,0.65,-0.12,0.06,0.13,0.64,-0.15,,0.16,0.16,0.55,-0.08,0.07,0.08,0.56,-0.12
Strong2,0.34,0.28,0.24,0.28,0.21,0.27,0.04,0.38,0.24,0.24,-0.07,0.37,0.21,,0.24,0.09,0.30,0.16,0.21,-0.04,0.27,0.14
Strong3,0.29,0.18,0.18,0.38,0.20,0.05,0.05,0.66,0.09,-0.02,-0.03,0.67,0.07,,0.07,0.07,0.51,0.06,-0.01,-0.02,0.53,0.04
Strong4,0.24,0.18,0.14,0.32,0.10,0.14,0.02,0.57,-0.12,0.09,-0.04,0.59,-0.15,,0.14,0.04,0.38,-0.03,0.10,-0.04,0.39,-0.06
Strong5,0.29,0.21,0.20,0.25,0.23,0.10,0.06,0.47,0.25,0.05,-0.02,0.46,0.23,,0.11,0.09,0.36,0.16,0.06,-0.01,0.35,0.14
Angry1,0.31,0.16,0.25,0.31,0.30,-0.04,0.20,0.44,0.37,-0.12,0.14,0.42,0.36,,0.02,0.18,0.35,0.25,-0.07,0.10,0.33,0.24
Angry2,0.28,0.15,0.28,0.15,0.31,0.03,0.19,0.01,0.73,0.01,0.13,-0.04,0.73,,0.05,0.20,0.06,0.62,0.01,0.07,-0.02,0.64
Angry3,0.32,0.23,0.28,0.18,0.31,0.09,0.25,0.12,0.55,0.05,0.18,0.07,0.54,,0.10,0.26,0.15,0.31,0.04,0.18,0.09,0.30
