"ID","iRace1","iRace2","iRace3","iRace4","iRace5","iRace6","iRace7","iRace8","iRace9","iRace10","cmBiMulti","cmBlack","cmNBPoC","cmWhite","cmUnsure","Blst_1","Blst_2","Blst_3","Blst_4","Blst_5","Blst_6","cEval_8","cEval_9","cEval_10","cEval_11","cEval_12","cEval_13","cEval_14","cEval_15","cEval_20","cEval_16","cEval_17"
1,3,1,3,NA,NA,NA,NA,NA,NA,NA,0,0,39,61,0,5,3,5,2,2,2,5,5,5,5,5,5,4,3,3,3,2
2,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,5,10,85,0,6,6,2,2,4,1,5,5,5,5,5,5,5,5,5,5,NA
3,3,1,NA,NA,NA,NA,NA,NA,NA,NA,0,10,30,60,0,NA,5,2,2,NA,2,2,4,2,NA,4,3,4,NA,NA,1,1
4,3,1,3,NA,NA,NA,NA,NA,NA,NA,2,6,19,73,0,2,2,2,2,2,2,4,2,4,3,5,4,4,4,4,4,5
5,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,5,10,80,0,6,1,1,1,1,1,5,5,5,5,5,5,4,3,4,3,2
6,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,15,20,30,35,0,5,1,1,2,1,2,4,5,5,5,5,4,1,3,5,5,1
7,3,3,NA,NA,NA,NA,NA,NA,NA,NA,0,0,40,60,0,5,4,4,4,4,4,5,5,3,3,5,4,4,3,3,2,2
8,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,5,90,5,5,4,3,3,4,3,4,2,2,3,5,3,1,2,3,1,1
9,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,30,70,0,5,3,1,2,1,2,4,3,3,2,2,1,1,1,1,1,1
10,0,0,3,3,NA,NA,NA,NA,NA,NA,7,4,13,73,3,3,5,2,3,3,3,4,4,4,5,5,5,5,4,4,2,4
11,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,80,10,10,NA,NA,2,NA,2,NA,5,4,4,5,5,4,4,5,3,2,3
12,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,7,19,74,0,4,5,1,4,2,2,4,4,4,3,4,4,4,4,4,4,1
13,1,3,NA,NA,NA,NA,NA,NA,NA,NA,20,0,0,80,0,5,1,1,3,1,1,5,4,5,4,3,4,5,4,4,3,4
14,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,6,19,0,75,6,1,1,1,1,1,5,4,4,5,5,5,5,4,4,3,1
15,3,3,3,NA,NA,NA,NA,NA,NA,NA,9,9,15,67,0,3,3,3,3,3,3,4,4,4,4,4,4,4,3,3,3,4
16,3,3,1,3,NA,NA,NA,NA,NA,NA,12,1,22,51,14,4,2,2,2,2,2,4,2,4,2,4,4,5,5,5,2,5
17,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,21,0,79,0,6,1,6,1,1,2,4,4,5,3,2,4,1,1,1,1,1
18,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,5,11,73,5,4,2,2,3,2,3,5,4,4,2,3,4,4,4,4,3,2
19,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,6,12,76,0,4,5,2,2,2,2,5,5,3,2,3,3,4,3,4,2,2
20,3,3,1,3,NA,NA,NA,NA,NA,NA,10,20,25,45,0,4,3,2,1,1,1,5,4,5,4,4,4,5,5,5,5,5
21,3,1,NA,NA,NA,NA,NA,NA,NA,NA,10,10,20,60,0,6,1,1,2,1,1,4,5,4,3,4,4,4,4,4,2,2
22,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,2,97,0,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
23,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,15,25,35,15,10,7,1,1,1,1,1,5,5,5,4,5,4,5,5,5,3,3
