,Mild,Severe,
 
,Estimate,SE,z,p-value,Estimate,SE,z,p-value,

,Factor Loadings,
 Helplessness,

People feel they need to do something to help me because I have a disability,1.00+,,,,1.00+,,,,

People express admiration for me or describe me as inspirational simply because I live with a disability,1.04,0.06,16.94,.000,1.04,0.06,16.94,.000,

People express pity for me because I have a disability,0.91,0.06,15.16,.000,0.91,0.06,15.16,.000,

People do not expect me to have a job or volunteer activities because I have a disability,0.81,0.06,13.70,.000,0.81,0.06,13.70,.000,

People offer me unsolicited unwanted or unneeded help because I have a disability,0.92,0.06,14.59,.000,0.92,0.06,14.59,.000,

 Minimization,

People are unwilling to accept that I have a disability because I appear able-bodied,1.00+,,,,1.00+,,,,

People minimize my disability or suggest that it could be worse,0.95,0.11,8.66,.000,0.95,0.11,8.66,.000,

People act as if accomodations for my disability are unnecessary,1.05,0.12,8.56,.000,1.05,0.12,8.56,.000,

 DenialPersonhood,

People don't see me as a whole person because I have a disability,1.00+,,,,1.00+,,,,

People act as if I am nothing more than my disability,0.88,0.04,25.17,.000,0.88,0.04,25.17,.000,

People speak to me as if I am a child or do not take me seriously because I have a disability,0.73,0.04,18.42,.000,0.73,0.04,18.42,.000,

People assume I have low intelligence because I have a disability,0.61,0.04,15.32,.000,0.61,0.04,15.32,.000,

Because I have a disability people attempt to make decisions fro me that I could make myself,0.48,0.04,11.61,.000,0.48,0.04,11.61,.000,

 Otherization,

People think I should not date or pursue sexual relationships because I have a disability,1.00+,,,,1.00+,,,,

People indicate they would not date a person with a disability,1.04,0.06,17.99,.000,1.04,0.06,17.99,.000,

People suggest that I cannot or should not have children because I have a disability,0.97,0.06,17.55,.000,0.97,0.06,17.55,.000,

People stare at me because I have a disability,0.82,0.06,12.98,.000,0.82,0.06,12.98,.000,

Because I have a disability people seem surprised to see me outside my home,0.62,0.05,11.36,.000,0.62,0.05,11.36,.000,

Because I have a disability people assume I have an extraordinary gift or talent,0.49,0.05,10.16,.000,0.49,0.05,10.16,.000,

People suggest that living with a disability would not be a worthwhile existence,0.58,0.06,9.70,.000,0.58,0.06,9.70,.000,

,Intercepts,

People feel they need to do something to help me because I have a disability,1.67,0.05,32.34,.000,1.67,0.05,32.34,.000,

People express admiration for me or describe me as inspirational simply because I live with a disability,1.49,0.05,28.88,.000,1.49,0.05,28.88,.000,

People express pity for me because I have a disability,1.85,0.05,35.53,.000,1.85,0.05,35.53,.000,

People do not expect me to have a job or volunteer activities because I have a disability,1.44,0.05,27.80,.000,1.44,0.05,27.80,.000,

People offer me unsolicited unwanted or unneeded help because I have a disability,1.87,0.06,33.82,.000,1.87,0.06,33.82,.000,

People are unwilling to accept that I have a disability because I appear able-bodied,2.87,0.06,46.63,.000,2.87,0.06,46.63,.000,

People minimize my disability or suggest that it could be worse,2.71,0.06,49.29,.000,2.71,0.06,49.29,.000,

People act as if accomodations for my disability are unnecessary,1.86,0.06,29.76,.000,1.86,0.06,29.76,.000,

People don't see me as a whole person because I have a disability,1.31,0.05,27.21,.000,1.31,0.05,27.21,.000,

People act as if I am nothing more than my disability,1.19,0.05,26.10,.000,1.19,0.05,26.10,.000,

People speak to me as if I am a child or do not take me seriously because I have a disability,1.29,0.05,25.59,.000,1.29,0.05,25.59,.000,

People assume I have low intelligence because I have a disability,1.34,0.05,26.98,.000,1.34,0.05,26.98,.000,

Because I have a disability people attempt to make decisions fro me that I could make myself,1.59,0.05,31.60,.000,1.59,0.05,31.60,.000,

People think I should not date or pursue sexual relationships because I have a disability,0.76,0.04,19.34,.000,0.76,0.04,19.34,.000,

People indicate they would not date a person with a disability,1.14,0.05,24.94,.000,1.14,0.05,24.94,.000,

People suggest that I cannot or should not have children because I have a disability,0.97,0.04,21.97,.000,0.97,0.04,21.97,.000,

People stare at me because I have a disability,1.28,0.05,24.76,.000,1.28,0.05,24.76,.000,

Because I have a disability people seem surprised to see me outside my home,1.10,0.04,24.58,.000,1.10,0.04,24.58,.000,

Because I have a disability people assume I have an extraordinary gift or talent,0.90,0.04,22.84,.000,0.90,0.04,22.84,.000,

People suggest that living with a disability would not be a worthwhile existence,1.36,0.05,27.52,.000,1.36,0.05,27.52,.000,

,Residual Variances,

People feel they need to do something to help me because I have a disability,1.00,0.06,15.82,.000,1.00,0.06,15.82,.000,

People express admiration for me or describe me as inspirational simply because I live with a disability,0.92,0.06,14.99,.000,0.92,0.06,14.99,.000,

People express pity for me because I have a disability,1.20,0.07,17.24,.000,1.20,0.07,17.24,.000,

People do not expect me to have a job or volunteer activities because I have a disability,1.34,0.07,18.21,.000,1.34,0.07,18.21,.000,

People offer me unsolicited unwanted or unneeded help because I have a disability,1.41,0.08,17.68,.000,1.41,0.08,17.68,.000,

People are unwilling to accept that I have a disability because I appear able-bodied,1.78,0.11,15.81,.000,1.78,0.11,15.81,.000,

People minimize my disability or suggest that it could be worse,1.34,0.09,14.90,.000,1.34,0.09,14.90,.000,

People act as if accomodations for my disability are unnecessary,1.79,0.12,15.40,.000,1.79,0.12,15.40,.000,

People don't see me as a whole person because I have a disability,0.47,0.04,10.80,.000,0.47,0.04,10.80,.000,

People act as if I am nothing more than my disability,0.55,0.04,13.65,.000,0.55,0.04,13.65,.000,

People speak to me as if I am a child or do not take me seriously because I have a disability,1.19,0.06,18.44,.000,1.19,0.06,18.44,.000,

People assume I have low intelligence because I have a disability,1.33,0.07,19.20,.000,1.33,0.07,19.20,.000,

Because I have a disability people attempt to make decisions fro me that I could make myself,1.55,0.08,19.78,.000,1.55,0.08,19.78,.000,

People think I should not date or pursue sexual relationships because I have a disability,0.52,0.04,14.42,.000,0.52,0.04,14.42,.000,

People indicate they would not date a person with a disability,0.84,0.05,16.40,.000,0.84,0.05,16.40,.000,

People suggest that I cannot or should not have children because I have a disability,0.82,0.05,16.80,.000,0.82,0.05,16.80,.000,

People stare at me because I have a disability,1.49,0.08,19.01,.000,1.49,0.08,19.01,.000,

Because I have a disability people seem surprised to see me outside my home,1.20,0.06,19.41,.000,1.20,0.06,19.41,.000,

Because I have a disability people assume I have an extraordinary gift or talent,0.95,0.05,19.65,.000,0.95,0.05,19.65,.000,

People suggest that living with a disability would not be a worthwhile existence,1.53,0.08,19.73,.000,1.53,0.08,19.73,.000,

,Latent Intercepts,

Helplessness,0.00+,,,,1.00,0.08,12.15,.000,

Minimization,0.00+,,,,0.79,0.09,8.58,.000,

DenialPersonhood,0.00+,,,,1.29,0.09,14.41,.000,

Otherization,0.00+,,,,0.97,0.07,13.90,.000,

,Latent Variances,

Helplessness,0.64,0.07,8.90,.000,0.81,0.11,7.47,.000,

Minimization,0.54,0.10,5.35,.000,0.40,0.10,4.04,.000,

DenialPersonhood,0.87,0.07,11.62,.000,1.30,0.14,9.37,.000,

Otherization,0.41,0.04,9.46,.000,0.67,0.08,8.18,.000,

,Latent Covariances,

Helplessness w/Minimization,-0.09,0.04,-2.18,.029,-0.19,0.06,-3.03,.002,

Helplessness w/DenialPersonhood,-0.14,0.04,-3.30,.001,-0.21,0.08,-2.75,.006,

Helplessness w/Otherization,-0.06,0.03,-2.03,.042,-0.28,0.06,-4.64,.000,

Minimization w/DenialPersonhood,-0.03,0.05,-0.61,.541,-0.08,0.07,-1.14,.256,

Minimization w/Otherization,-0.13,0.04,-3.54,.000,-0.09,0.05,-1.65,.098,

DenialPersonhood w/Otherization,-0.11,0.03,-3.18,.001,-0.34,0.07,-4.69,.000,

,Fit Indices,

chi^2,1012.76(380),,,.000,,,,,

DF,380.00,,,,,,,,

PVALUE,0.00,,,,,,,,

CFI,0.78,,,,,,,,

RMSEA,0.06,,,,,,,,

RMSEA.CI.LOWER,0.06,,,,,,,,

RMSEA.CI.UPPER,0.07,,,,,,,,

SRMR,0.08,,,,,,,,

AIC,52807.37,,,,,,,,

BIC,53185.37,,,,,,,,

+Fixed parameter,



