"","lhs","op","rhs","est","se","pval","confint","est_sig","est_std","se_std","pval_std","confint_std","est_sig_std","block","group","label","lavaan_label"
"1","Helplessness","=~","Help1","1.000","0.000",NA,"[1.000, 1.000]","1.000","0.528","0.035","0.000","[0.459, 0.598]","0.528***","1.000","Mild","Helplessness.BY.Help1.Mild",""
"2","Helplessness","=~","Help2","1.161","0.110","0.000","[0.945, 1.377]","1.161***","0.572","0.034","0.000","[0.505, 0.639]","0.572***","1.000","Mild","Helplessness.BY.Help2.Mild",".p2."
"3","Helplessness","=~","Help3","1.084","0.110","0.000","[0.869, 1.300]","1.084***","0.504","0.036","0.000","[0.435, 0.574]","0.504***","1.000","Mild","Helplessness.BY.Help3.Mild",".p3."
"4","Helplessness","=~","Help4","0.982","0.103","0.000","[0.780, 1.183]","0.982***","0.465","0.036","0.000","[0.395, 0.535]","0.465***","1.000","Mild","Helplessness.BY.Help4.Mild",".p4."
"5","Helplessness","=~","Help5","1.150","0.111","0.000","[0.931, 1.368]","1.150***","0.541","0.035","0.000","[0.473, 0.609]","0.541***","1.000","Mild","Helplessness.BY.Help5.Mild",".p5."
"6","Minimization","=~","Min1","1.000","0.000",NA,"[1.000, 1.000]","1.000","0.530","0.058","0.000","[0.417, 0.644]","0.530***","1.000","Mild","Minimization.BY.Min1.Mild",""
"7","Minimization","=~","Min2","0.750","0.133","0.000","[0.488, 1.011]","0.750***","0.399","0.052","0.000","[0.298, 0.501]","0.399***","1.000","Mild","Minimization.BY.Min2.Mild",".p7."
"8","Minimization","=~","Min3","0.751","0.134","0.000","[0.489, 1.012]","0.751***","0.407","0.052","0.000","[0.305, 0.509]","0.407***","1.000","Mild","Minimization.BY.Min3.Mild",".p8."
"9","DenialPersonhood","=~","Per1","1.000","0.000",NA,"[1.000, 1.000]","1.000","0.518","0.034","0.000","[0.450, 0.585]","0.518***","1.000","Mild","DenialPersonhood.BY.Per1.Mild",""
"10","DenialPersonhood","=~","Per2","1.141","0.100","0.000","[0.946, 1.337]","1.141***","0.664","0.031","0.000","[0.603, 0.725]","0.664***","1.000","Mild","DenialPersonhood.BY.Per2.Mild",".p10."
