,CPY,ORG,
 
,Estimate,SE,z,p-value,Estimate,SE,z,p-value,

,Factor Loadings,
 TradPed,

ClearResponsibilities,1.00+,,,,1.00+,,,,

EffectiveAnswers,1.02,0.09,11.66,.000,1.10,0.09,12.87,.000,

Feedback,1.05,0.10,10.66,.000,0.88,0.13,6.81,.000,

ClearOrganization,1.39,0.12,11.54,.000,1.10,0.12,9.33,.000,

ClearPresentation,1.38,0.11,13.13,.000,1.01,0.08,12.50,.000,

 Valued,

ValObjectives,1.00+,,,,1.00+,,,,

IncrUnderstanding,1.96,0.23,8.67,.000,2.19,0.82,2.66,.008,

IncrInterest,2.25,0.26,8.69,.000,3.45,1.26,2.73,.006,

 SCRPed,

MultPerspectives,1.00+,,,,1.00+,,,,

InclusvClassrm,0.83,0.06,13.70,.000,0.15,0.07,2.15,.031,

DEIintegration,0.74,0.07,10.19,.000,0.24,0.09,2.60,.009,

EquitableEval,0.59,0.06,10.50,.000,0.57,0.09,6.00,.000,

,Intercepts,

ClearResponsibilities,4.51,0.05,84.41,.000,4.43,0.11,40.75,.000,

EffectiveAnswers,4.42,0.05,83.15,.000,4.37,0.12,36.32,.000,

Feedback,4.33,0.06,73.23,.000,4.11,0.13,31.86,.000,

ClearOrganization,4.11,0.07,56.01,.000,3.89,0.14,28.60,.000,

ClearPresentation,4.29,0.07,65.77,.000,4.22,0.11,37.64,.000,

ValObjectives,4.55,0.04,108.50,.000,4.52,0.08,59.74,.000,

IncrUnderstanding,4.29,0.06,70.86,.000,4.34,0.09,49.43,.000,

IncrInterest,3.94,0.07,56.96,.000,4.14,0.11,37.39,.000,

MultPerspectives,4.49,0.05,81.95,.000,4.31,0.12,34.51,.000,

InclusvClassrm,4.65,0.05,94.83,.000,4.74,0.06,80.73,.000,

DEIintegration,4.55,0.05,84.60,.000,4.52,0.08,55.35,.000,

EquitableEval,4.60,0.04,109.36,.000,4.52,0.09,48.85,.000,

,Residual Variances,

ClearResponsibilities,0.24,0.03,8.92,.000,0.11,0.03,3.96,.000,

EffectiveAnswers,0.22,0.03,8.78,.000,0.14,0.04,4.07,.000,

Feedback,0.34,0.04,9.16,.000,0.58,0.11,5.45,.000,

ClearOrganization,0.43,0.05,8.83,.000,0.41,0.08,5.15,.000,

ClearPresentation,0.22,0.03,7.61,.000,0.14,0.03,4.26,.000,

ValObjectives,0.23,0.02,9.22,.000,0.32,0.06,5.53,.000,

IncrUnderstanding,0.24,0.04,6.92,.000,0.26,0.06,4.49,.000,

IncrInterest,0.31,0.05,6.83,.000,0.20,0.09,2.18,.029,

MultPerspectives,0.14,0.02,5.96,.000,0.20,0.09,2.29,.022,

InclusvClassrm,0.17,0.02,7.59,.000,0.21,0.04,5.64,.000,

DEIintegration,0.33,0.04,9.13,.000,0.39,0.07,5.61,.000,

EquitableEval,0.20,0.02,9.05,.000,0.29,0.06,5.01,.000,

,Latent Intercepts,

TradPed,0.00+,,,,0.00+,,,,

Valued,0.00+,,,,0.00+,,,,

SCRPed,0.00+,,,,0.00+,,,,

,Latent Variances,

TradPed,0.34,0.05,6.28,.000,0.66,0.13,4.87,.000,

Valued,0.13,0.03,4.46,.000,0.05,0.04,1.40,.161,

SCRPed,0.46,0.06,7.51,.000,0.81,0.19,4.23,.000,

,Latent Covariances,

TradPed w/Valued,0.18,0.03,6.23,.000,0.11,0.05,2.26,.024,

TradPed w/SCRPed,0.33,0.04,7.37,.000,0.58,0.13,4.50,.000,

Valued w/SCRPed,0.16,0.03,5.66,.000,0.16,0.07,2.42,.016,

,Fit Indices,

chi^2,339.43(102),,,.000,,,,,

DF,102.00,,,,,,,,

PVALUE,0.00,,,,,,,,

CFI,0.88,,,,,,,,

RMSEA,0.13,,,,,,,,

RMSEA.CI.LOWER,0.12,,,,,,,,

RMSEA.CI.UPPER,0.15,,,,,,,,

SRMR,0.07,,,,,,,,

AIC,5951.93,,,,,,,,

BIC,6231.74,,,,,,,,

+Fixed parameter,



