"","lhs","op","rhs","est","se","pval","confint","est_sig","est_std","se_std","pval_std","confint_std","est_sig_std","label"
"1","Evals","=~","ClearResponsibilities","0.621","0.045","0.000","[0.533, 0.708]","0.621***","0.786","0.034","0.000","[0.720, 0.852]","0.786***","Evals.BY.ClearResponsibilities"
"2","Evals","=~","EffectiveAnswers","0.637","0.045","0.000","[0.549, 0.725]","0.637***","0.784","0.032","0.000","[0.720, 0.847]","0.784***","Evals.BY.EffectiveAnswers"
"3","Evals","=~","Feedback","0.679","0.050","0.000","[0.580, 0.777]","0.679***","0.756","0.034","0.000","[0.690, 0.822]","0.756***","Evals.BY.Feedback"
"4","Evals","=~","ClearOrganization","0.798","0.061","0.000","[0.679, 0.918]","0.798***","0.753","0.036","0.000","[0.682, 0.824]","0.753***","Evals.BY.ClearOrganization"
"5","Evals","=~","ClearPresentation","0.721","0.070","0.000","[0.584, 0.858]","0.721***","0.613","0.039","0.000","[0.536, 0.689]","0.613***","Evals.BY.ClearPresentation"
"6","Evals","=~","ValObjectives","0.293","0.037","0.000","[0.221, 0.365]","0.293***","0.488","0.051","0.000","[0.388, 0.588]","0.488***","Evals.BY.ValObjectives"
"7","Evals","=~","IncrUnderstanding","0.496","0.048","0.000","[0.401, 0.591]","0.496***","0.600","0.044","0.000","[0.515, 0.686]","0.600***","Evals.BY.IncrUnderstanding"
"8","Evals","=~","IncrInterest","0.638","0.055","0.000","[0.530, 0.747]","0.638***","0.661","0.039","0.000","[0.584, 0.738]","0.661***","Evals.BY.IncrInterest"
"9","Evals","=~","MultPerspectives","0.643","0.046","0.000","[0.553, 0.734]","0.643***","0.763","0.032","0.000","[0.700, 0.825]","0.763***","Evals.BY.MultPerspectives"
"10","Evals","=~","InclusvClassrm","0.359","0.040","0.000","[0.282, 0.437]","0.359***","0.552","0.048","0.000","[0.457, 0.647]","0.552***","Evals.BY.InclusvClassrm"
"11","Evals","=~","DEIintegration","0.286","0.047","0.000","[0.193, 0.378]","0.286***","0.386","0.057","0.000","[0.274, 0.499]","0.386***","Evals.BY.DEIintegration"
"12","Evals","=~","EquitableEval","0.455","0.036","0.000","[0.385, 0.525]","0.455***","0.713","0.035","0.000","[0.643, 0.783]","0.713***","Evals.BY.EquitableEval"
"13","TradPed","=~","ClearResponsibilities","0.394","0.170","0.021","[0.060, 0.728]","0.394*","0.498","0.215","0.021","[0.076, 0.921]","0.498*","TradPed.BY.ClearResponsibilities"
"14","TradPed","=~","EffectiveAnswers","0.121","0.086","0.160","[-0.048, 0.289]","0.121","0.149","0.106","0.160","[-0.058, 0.356]","0.149","TradPed.BY.EffectiveAnswers"
"15","TradPed","=~","Feedback","0.085","0.081","0.294","[-0.074, 0.245]","0.085","0.095","0.090","0.294","[-0.082, 0.272]","0.095","TradPed.BY.Feedback"
"16","TradPed","=~","ClearOrganization","0.215","0.136","0.114","[-0.051, 0.482]","0.215","0.203","0.128","0.113","[-0.048, 0.454]","0.203","TradPed.BY.ClearOrganization"
