"","lhs","op","rhs","est","se","pval","confint","est_sig","est_std","se_std","pval_std","confint_std","est_sig_std","block","group","label"
"1","TradPed","=~","ClearResponsibilities","1.000","0.000",NA,"[1.000, 1.000]","1.000","0.764","0.032","0.000","[0.701, 0.828]","0.764***","1.000","CPY","TradPed.BY.ClearResponsibilities.CPY"
"2","TradPed","=~","EffectiveAnswers","1.017","0.087","0.000","[0.846, 1.188]","1.017***","0.782","0.031","0.000","[0.722, 0.842]","0.782***","1.000","CPY","TradPed.BY.EffectiveAnswers.CPY"
"3","TradPed","=~","Feedback","1.048","0.098","0.000","[0.855, 1.241]","1.048***","0.724","0.037","0.000","[0.653, 0.796]","0.724***","1.000","CPY","TradPed.BY.Feedback.CPY"
"4","TradPed","=~","ClearOrganization","1.393","0.121","0.000","[1.156, 1.629]","1.393***","0.775","0.031","0.000","[0.714, 0.837]","0.775***","1.000","CPY","TradPed.BY.ClearOrganization.CPY"
"5","TradPed","=~","ClearPresentation","1.380","0.105","0.000","[1.174, 1.586]","1.380***","0.865","0.022","0.000","[0.822, 0.907]","0.865***","1.000","CPY","TradPed.BY.ClearPresentation.CPY"
"6","Valued","=~","ValObjectives","1.000","0.000",NA,"[1.000, 1.000]","1.000","0.603","0.050","0.000","[0.505, 0.701]","0.603***","1.000","CPY","Valued.BY.ValObjectives.CPY"
"7","Valued","=~","IncrUnderstanding","1.960","0.226","0.000","[1.516, 2.403]","1.960***","0.820","0.031","0.000","[0.759, 0.881]","0.820***","1.000","CPY","Valued.BY.IncrUnderstanding.CPY"
"8","Valued","=~","IncrInterest","2.251","0.259","0.000","[1.743, 2.758]","2.251***","0.823","0.031","0.000","[0.763, 0.884]","0.823***","1.000","CPY","Valued.BY.IncrInterest.CPY"
"9","SCRPed","=~","MultPerspectives","1.000","0.000",NA,"[1.000, 1.000]","1.000","0.875","0.025","0.000","[0.826, 0.923]","0.875***","1.000","CPY","SCRPed.BY.MultPerspectives.CPY"
"10","SCRPed","=~","InclusvClassrm","0.830","0.061","0.000","[0.712, 0.949]","0.830***","0.812","0.030","0.000","[0.753, 0.871]","0.812***","1.000","CPY","SCRPed.BY.InclusvClassrm.CPY"
"11","SCRPed","=~","DEIintegration","0.736","0.072","0.000","[0.595, 0.878]","0.736***","0.656","0.045","0.000","[0.568, 0.744]","0.656***","1.000","CPY","SCRPed.BY.DEIintegration.CPY"
"12","SCRPed","=~","EquitableEval","0.590","0.056","0.000","[0.480, 0.700]","0.590***","0.671","0.043","0.000","[0.586, 0.756]","0.671***","1.000","CPY","SCRPed.BY.EquitableEval.CPY"
"13","TradPed","~~","Valued","0.185","0.030","0.000","[0.127, 0.243]","0.185***","0.885","0.030","0.000","[0.826, 0.943]","0.885***","1.000","CPY","TradPed.WITH.Valued.CPY"
"14","TradPed","~~","SCRPed","0.329","0.045","0.000","[0.242, 0.417]","0.329***","0.833","0.032","0.000","[0.769, 0.896]","0.833***","1.000","CPY","TradPed.WITH.SCRPed.CPY"
"15","Valued","~~","SCRPed","0.160","0.028","0.000","[0.105, 0.215]","0.160***","0.653","0.054","0.000","[0.546, 0.759]","0.653***","1.000","CPY","Valued.WITH.SCRPed.CPY"
"16","ClearResponsibilities","~~","ClearResponsibilities","0.240","0.027","0.000","[0.187, 0.293]","0.240***","0.416","0.050","0.000","[0.319, 0.513]","0.416***","1.000","CPY","Variances.ClearResponsibilities.CPY"
"17","EffectiveAnswers","~~","EffectiveAnswers","0.221","0.025","0.000","[0.172, 0.271]","0.221***","0.388","0.048","0.000","[0.295, 0.482]","0.388***","1.000","CPY","Variances.EffectiveAnswers.CPY"
"18","Feedback","~~","Feedback","0.335","0.037","0.000","[0.264, 0.407]","0.335***","0.475","0.053","0.000","[0.372, 0.579]","0.475***","1.000","CPY","Variances.Feedback.CPY"
"19","ClearOrganization","~~","ClearOrganization","0.434","0.049","0.000","[0.337, 0.530]","0.434***","0.399","0.049","0.000","[0.304, 0.494]","0.399***","1.000","CPY","Variances.ClearOrganization.CPY"
"20","ClearPresentation","~~","ClearPresentation","0.217","0.028","0.000","[0.161, 0.272]","0.217***","0.252","0.038","0.000","[0.179, 0.326]","0.252***","1.000","CPY","Variances.ClearPresentation.CPY"
"21","ValObjectives","~~","ValObjectives","0.227","0.025","0.000","[0.178, 0.275]","0.227***","0.636","0.061","0.000","[0.518, 0.755]","0.636***","1.000","CPY","Variances.ValObjectives.CPY"
"22","IncrUnderstanding","~~","IncrUnderstanding","0.242","0.035","0.000","[0.174, 0.311]","0.242***","0.328","0.051","0.000","[0.228, 0.428]","0.328***","1.000","CPY","Variances.IncrUnderstanding.CPY"
"23","IncrInterest","~~","IncrInterest","0.311","0.046","0.000","[0.222, 0.400]","0.311***","0.322","0.051","0.000","[0.222, 0.422]","0.322***","1.000","CPY","Variances.IncrInterest.CPY"
"24","MultPerspectives","~~","MultPerspectives","0.143","0.024","0.000","[0.096, 0.189]","0.143***","0.235","0.043","0.000","[0.151, 0.319]","0.235***","1.000","CPY","Variances.MultPerspectives.CPY"
"25","InclusvClassrm","~~","InclusvClassrm","0.166","0.022","0.000","[0.123, 0.208]","0.166***","0.341","0.049","0.000","[0.245, 0.437]","0.341***","1.000","CPY","Variances.InclusvClassrm.CPY"
"26","DEIintegration","~~","DEIintegration","0.333","0.036","0.000","[0.261, 0.404]","0.333***","0.570","0.059","0.000","[0.455, 0.685]","0.570***","1.000","CPY","Variances.DEIintegration.CPY"
"27","EquitableEval","~~","EquitableEval","0.197","0.022","0.000","[0.154, 0.239]","0.197***","0.550","0.058","0.000","[0.435, 0.664]","0.550***","1.000","CPY","Variances.EquitableEval.CPY"
"28","TradPed","~~","TradPed","0.337","0.054","0.000","[0.232, 0.442]","0.337***","1.000","0.000",NA,"[1.000, 1.000]","1.000","1.000","CPY","Variances.TradPed.CPY"
"29","Valued","~~","Valued","0.129","0.029","0.000","[0.073, 0.186]","0.129***","1.000","0.000",NA,"[1.000, 1.000]","1.000","1.000","CPY","Variances.Valued.CPY"
"30","SCRPed","~~","SCRPed","0.464","0.062","0.000","[0.343, 0.585]","0.464***","1.000","0.000",NA,"[1.000, 1.000]","1.000","1.000","CPY","Variances.SCRPed.CPY"
"31","ClearResponsibilities","~1","","4.510","0.053","0.000","[4.405, 4.615]","4.510***","5.939","0.304","0.000","[5.344, 6.534]","5.939***","1.000","CPY","Means.ClearResponsibilities.CPY"
"32","EffectiveAnswers","~1","","4.416","0.053","0.000","[4.312, 4.520]","4.416***","5.851","0.299","0.000","[5.264, 6.438]","5.851***","1.000","CPY","Means.EffectiveAnswers.CPY"
"33","Feedback","~1","","4.327","0.059","0.000","[4.211, 4.443]","4.327***","5.153","0.266","0.000","[4.632, 5.674]","5.153***","1.000","CPY","Means.Feedback.CPY"
"34","ClearOrganization","~1","","4.109","0.073","0.000","[3.965, 4.253]","4.109***","3.941","0.208","0.000","[3.533, 4.349]","3.941***","1.000","CPY","Means.ClearOrganization.CPY"
"35","ClearPresentation","~1","","4.287","0.065","0.000","[4.159, 4.415]","4.287***","4.628","0.241","0.000","[4.156, 5.100]","4.628***","1.000","CPY","Means.ClearPresentation.CPY"
"36","ValObjectives","~1","","4.554","0.042","0.000","[4.472, 4.637]","4.554***","7.634","0.386","0.000","[6.877, 8.391]","7.634***","1.000","CPY","Means.ValObjectives.CPY"
"37","IncrUnderstanding","~1","","4.287","0.060","0.000","[4.169, 4.406]","4.287***","4.986","0.258","0.000","[4.481, 5.491]","4.986***","1.000","CPY","Means.IncrUnderstanding.CPY"
"38","IncrInterest","~1","","3.941","0.069","0.000","[3.805, 4.076]","3.941***","4.008","0.211","0.000","[3.593, 4.422]","4.008***","1.000","CPY","Means.IncrInterest.CPY"
"39","MultPerspectives","~1","","4.490","0.055","0.000","[4.383, 4.597]","4.490***","5.766","0.295","0.000","[5.187, 6.345]","5.766***","1.000","CPY","Means.MultPerspectives.CPY"
"40","InclusvClassrm","~1","","4.649","0.049","0.000","[4.552, 4.745]","4.649***","6.672","0.339","0.000","[6.007, 7.337]","6.672***","1.000","CPY","Means.InclusvClassrm.CPY"
"41","DEIintegration","~1","","4.550","0.054","0.000","[4.444, 4.655]","4.550***","5.952","0.304","0.000","[5.356, 6.549]","5.952***","1.000","CPY","Means.DEIintegration.CPY"
"42","EquitableEval","~1","","4.604","0.042","0.000","[4.521, 4.686]","4.604***","7.695","0.389","0.000","[6.932, 8.458]","7.695***","1.000","CPY","Means.EquitableEval.CPY"
"43","TradPed","~1","","0.000","0.000",NA,"[0.000, 0.000]","0.000","0.000","0.000",NA,"[0.000, 0.000]","0.000","1.000","CPY","Means.TradPed.CPY"
"44","Valued","~1","","0.000","0.000",NA,"[0.000, 0.000]","0.000","0.000","0.000",NA,"[0.000, 0.000]","0.000","1.000","CPY","Means.Valued.CPY"
"45","SCRPed","~1","","0.000","0.000",NA,"[0.000, 0.000]","0.000","0.000","0.000",NA,"[0.000, 0.000]","0.000","1.000","CPY","Means.SCRPed.CPY"
"46","TradPed","=~","ClearResponsibilities","1.000","0.000",NA,"[1.000, 1.000]","1.000","0.924","0.023","0.000","[0.879, 0.969]","0.924***","2.000","ORG","TradPed.BY.ClearResponsibilities.ORG"
"47","TradPed","=~","EffectiveAnswers","1.101","0.086","0.000","[0.933, 1.269]","1.101***","0.920","0.024","0.000","[0.873, 0.967]","0.920***","2.000","ORG","TradPed.BY.EffectiveAnswers.ORG"
"48","TradPed","=~","Feedback","0.875","0.129","0.000","[0.623, 1.127]","0.875***","0.682","0.070","0.000","[0.546, 0.818]","0.682***","2.000","ORG","TradPed.BY.Feedback.ORG"
"49","TradPed","=~","ClearOrganization","1.096","0.118","0.000","[0.866, 1.327]","1.096***","0.810","0.046","0.000","[0.719, 0.900]","0.810***","2.000","ORG","TradPed.BY.ClearOrganization.ORG"
"50","TradPed","=~","ClearPresentation","1.015","0.081","0.000","[0.856, 1.174]","1.015***","0.911","0.026","0.000","[0.860, 0.961]","0.911***","2.000","ORG","TradPed.BY.ClearPresentation.ORG"
"51","Valued","=~","ValObjectives","1.000","0.000",NA,"[1.000, 1.000]","1.000","0.366","0.120","0.002","[0.132, 0.601]","0.366**","2.000","ORG","Valued.BY.ValObjectives.ORG"
"52","Valued","=~","IncrUnderstanding","2.193","0.824","0.008","[0.578, 3.808]","2.193**","0.693","0.082","0.000","[0.531, 0.855]","0.693***","2.000","ORG","Valued.BY.IncrUnderstanding.ORG"
"53","Valued","=~","IncrInterest","3.450","1.262","0.006","[0.978, 5.923]","3.450**","0.865","0.069","0.000","[0.729, 1.000]","0.865***","2.000","ORG","Valued.BY.IncrInterest.ORG"
"54","SCRPed","=~","MultPerspectives","1.000","0.000",NA,"[1.000, 1.000]","1.000","0.895","0.051","0.000","[0.795, 0.995]","0.895***","2.000","ORG","SCRPed.BY.MultPerspectives.ORG"
"55","SCRPed","=~","InclusvClassrm","0.146","0.068","0.031","[0.013, 0.279]","0.146*","0.278","0.122","0.023","[0.038, 0.517]","0.278*","2.000","ORG","SCRPed.BY.InclusvClassrm.ORG"
"56","SCRPed","=~","DEIintegration","0.242","0.093","0.009","[0.059, 0.426]","0.242**","0.331","0.118","0.005","[0.100, 0.563]","0.331**","2.000","ORG","SCRPed.BY.DEIintegration.ORG"
"57","SCRPed","=~","EquitableEval","0.569","0.095","0.000","[0.383, 0.755]","0.569***","0.687","0.075","0.000","[0.540, 0.834]","0.687***","2.000","ORG","SCRPed.BY.EquitableEval.ORG"
"58","TradPed","~~","Valued","0.106","0.047","0.024","[0.014, 0.198]","0.106*","0.586","0.103","0.000","[0.384, 0.787]","0.586***","2.000","ORG","TradPed.WITH.Valued.ORG"
"59","TradPed","~~","SCRPed","0.577","0.128","0.000","[0.326, 0.829]","0.577***","0.791","0.068","0.000","[0.657, 0.924]","0.791***","2.000","ORG","TradPed.WITH.SCRPed.ORG"
"60","Valued","~~","SCRPed","0.161","0.067","0.016","[0.030, 0.291]","0.161*","0.798","0.086","0.000","[0.629, 0.968]","0.798***","2.000","ORG","Valued.WITH.SCRPed.ORG"
"61","ClearResponsibilities","~~","ClearResponsibilities","0.112","0.028","0.000","[0.056, 0.167]","0.112***","0.146","0.043","0.001","[0.062, 0.229]","0.146***","2.000","ORG","Variances.ClearResponsibilities.ORG"
"62","EffectiveAnswers","~~","EffectiveAnswers","0.145","0.036","0.000","[0.075, 0.215]","0.145***","0.154","0.044","0.000","[0.068, 0.240]","0.154***","2.000","ORG","Variances.EffectiveAnswers.ORG"
"63","Feedback","~~","Feedback","0.578","0.106","0.000","[0.370, 0.786]","0.578***","0.535","0.095","0.000","[0.349, 0.721]","0.535***","2.000","ORG","Variances.Feedback.ORG"
"64","ClearOrganization","~~","ClearOrganization","0.415","0.080","0.000","[0.257, 0.572]","0.415***","0.345","0.075","0.000","[0.198, 0.491]","0.345***","2.000","ORG","Variances.ClearOrganization.ORG"
"65","ClearPresentation","~~","ClearPresentation","0.139","0.033","0.000","[0.075, 0.203]","0.139***","0.170","0.047","0.000","[0.079, 0.262]","0.170***","2.000","ORG","Variances.ClearPresentation.ORG"
"66","ValObjectives","~~","ValObjectives","0.323","0.058","0.000","[0.208, 0.437]","0.323***","0.866","0.088","0.000","[0.694, 1.037]","0.866***","2.000","ORG","Variances.ValObjectives.ORG"
"67","IncrUnderstanding","~~","IncrUnderstanding","0.260","0.058","0.000","[0.147, 0.374]","0.260***","0.520","0.114","0.000","[0.296, 0.744]","0.520***","2.000","ORG","Variances.IncrUnderstanding.ORG"
"68","IncrInterest","~~","IncrInterest","0.201","0.092","0.029","[0.020, 0.382]","0.201*","0.252","0.120","0.035","[0.018, 0.487]","0.252*","2.000","ORG","Variances.IncrInterest.ORG"
"69","MultPerspectives","~~","MultPerspectives","0.202","0.088","0.022","[0.029, 0.374]","0.202*","0.199","0.091","0.029","[0.021, 0.377]","0.199*","2.000","ORG","Variances.MultPerspectives.ORG"
"70","InclusvClassrm","~~","InclusvClassrm","0.207","0.037","0.000","[0.135, 0.278]","0.207***","0.923","0.068","0.000","[0.790, 1.056]","0.923***","2.000","ORG","Variances.InclusvClassrm.ORG"
"71","DEIintegration","~~","DEIintegration","0.386","0.069","0.000","[0.251, 0.521]","0.386***","0.890","0.078","0.000","[0.736, 1.044]","0.890***","2.000","ORG","Variances.DEIintegration.ORG"
"72","EquitableEval","~~","EquitableEval","0.294","0.059","0.000","[0.179, 0.409]","0.294***","0.528","0.103","0.000","[0.326, 0.730]","0.528***","2.000","ORG","Variances.EquitableEval.ORG"
"73","TradPed","~~","TradPed","0.656","0.135","0.000","[0.392, 0.921]","0.656***","1.000","0.000",NA,"[1.000, 1.000]","1.000","2.000","ORG","Variances.TradPed.ORG"
"74","Valued","~~","Valued","0.050","0.036","0.161","[-0.020, 0.120]","0.050","1.000","0.000",NA,"[1.000, 1.000]","1.000","2.000","ORG","Variances.Valued.ORG"
"75","SCRPed","~~","SCRPed","0.811","0.192","0.000","[0.435, 1.187]","0.811***","1.000","0.000",NA,"[1.000, 1.000]","1.000","2.000","ORG","Variances.SCRPed.ORG"
