"","lhs","op","rhs","est","se","pval","confint","est_sig","est_std","se_std","pval_std","confint_std","est_sig_std","label"
"1","CTR","=~","CEN","1.000","0.000",NA,"[1.000, 1.000]","1.000","1.000","0.000",NA,"[1.000, 1.000]","1.000","CTR.BY.CEN"
"2","TrP","=~","ClearResponsibilities","1.000","0.000",NA,"[1.000, 1.000]","1.000","0.830","0.035","0.000","[0.762, 0.898]","0.830***","TrP.BY.ClearResponsibilities"
"3","TrP","=~","EffectiveAnswers","1.222","0.101","0.000","[1.024, 1.419]","1.222***","0.895","0.025","0.000","[0.846, 0.943]","0.895***","TrP.BY.EffectiveAnswers"
"4","TrP","=~","Feedback","0.981","0.130","0.000","[0.727, 1.235]","0.981***","0.655","0.058","0.000","[0.542, 0.768]","0.655***","TrP.BY.Feedback"
"5","TrP","=~","ClearOrganization","1.375","0.151","0.000","[1.080, 1.671]","1.375***","0.751","0.045","0.000","[0.663, 0.840]","0.751***","TrP.BY.ClearOrganization"
"6","TrP","=~","ClearPresentation","1.389","0.136","0.000","[1.123, 1.656]","1.389***","0.823","0.035","0.000","[0.755, 0.892]","0.823***","TrP.BY.ClearPresentation"
"7","SRP","=~","InclusvClassrm","1.000","0.000",NA,"[1.000, 1.000]","1.000","0.824","0.040","0.000","[0.745, 0.902]","0.824***","SRP.BY.InclusvClassrm"
"8","SRP","=~","EquitableEval","0.839","0.094","0.000","[0.654, 1.023]","0.839***","0.797","0.044","0.000","[0.711, 0.883]","0.797***","SRP.BY.EquitableEval"
"9","SRP","=~","MultPerspectives","1.186","0.128","0.000","[0.936, 1.436]","1.186***","0.798","0.042","0.000","[0.715, 0.881]","0.798***","SRP.BY.MultPerspectives"
"10","SRP","=~","DEIintegration","0.975","0.125","0.000","[0.731, 1.220]","0.975***","0.711","0.059","0.000","[0.596, 0.826]","0.711***","SRP.BY.DEIintegration"
"11","Val","=~","ValObjectives","1.000","0.000",NA,"[1.000, 1.000]","1.000","0.670","0.061","0.000","[0.550, 0.790]","0.670***","Val.BY.ValObjectives"
"12","Val","=~","IncrUnderstanding","1.571","0.232","0.000","[1.117, 2.025]","1.571***","0.785","0.047","0.000","[0.693, 0.878]","0.785***","Val.BY.IncrUnderstanding"
"13","Val","=~","IncrInterest","2.246","0.317","0.000","[1.624, 2.868]","2.246***","0.832","0.043","0.000","[0.747, 0.917]","0.832***","Val.BY.IncrInterest"
"14","CTR","~~","CEN","0.000","0.000",NA,"[0.000, 0.000]","0.000",NA,NA,NA,NA,NA,"CTR.WITH.CEN"
"15","CTR","~~","TrP","-0.052","0.025","0.038","[-0.101, -0.003]","-0.052*","-0.212","0.095","0.026","[-0.398, -0.025]","-0.212*","CTR.WITH.TrP"
"16","CTR","~~","SRP","-0.030","0.027","0.269","[-0.083, 0.023]","-0.030","-0.114","0.102","0.262","[-0.314, 0.086]","-0.114","CTR.WITH.SRP"
"17","CTR","~~","Val","-0.040","0.020","0.049","[-0.080, -0.000]","-0.040*","-0.214","0.100","0.033","[-0.411, -0.018]","-0.214*","CTR.WITH.Val"
"18","TrP","~~","SRP","0.231","0.041","0.000","[0.152, 0.311]","0.231***","0.871","0.040","0.000","[0.794, 0.949]","0.871***","TrP.WITH.SRP"
"19","TrP","~~","Val","0.164","0.033","0.000","[0.099, 0.229]","0.164***","0.868","0.045","0.000","[0.780, 0.956]","0.868***","TrP.WITH.Val"
"20","SRP","~~","Val","0.139","0.031","0.000","[0.077, 0.200]","0.139***","0.687","0.071","0.000","[0.549, 0.826]","0.687***","SRP.WITH.Val"
"21","CEN","~~","CEN","0.000","0.000",NA,"[0.000, 0.000]","0.000","0.000","0.000",NA,"[0.000, 0.000]","0.000","Variances.CEN"
"22","ClearResponsibilities","~~","ClearResponsibilities","0.113","0.019","0.000","[0.076, 0.149]","0.113***","0.311","0.057","0.000","[0.199, 0.424]","0.311***","Variances.ClearResponsibilities"
"23","EffectiveAnswers","~~","EffectiveAnswers","0.093","0.018","0.000","[0.057, 0.128]","0.093***","0.200","0.044","0.000","[0.113, 0.287]","0.200***","Variances.EffectiveAnswers"
"24","Feedback","~~","Feedback","0.318","0.045","0.000","[0.230, 0.407]","0.318***","0.571","0.076","0.000","[0.422, 0.719]","0.571***","Variances.Feedback"
"25","ClearOrganization","~~","ClearOrganization","0.363","0.054","0.000","[0.258, 0.468]","0.363***","0.435","0.068","0.000","[0.303, 0.568]","0.435***","Variances.ClearOrganization"
"26","ClearPresentation","~~","ClearPresentation","0.228","0.037","0.000","[0.157, 0.300]","0.228***","0.322","0.058","0.000","[0.209, 0.435]","0.322***","Variances.ClearPresentation"
"27","InclusvClassrm","~~","InclusvClassrm","0.134","0.025","0.000","[0.084, 0.184]","0.134***","0.322","0.066","0.000","[0.192, 0.452]","0.322***","Variances.InclusvClassrm"
"28","EquitableEval","~~","EquitableEval","0.115","0.020","0.000","[0.075, 0.155]","0.115***","0.365","0.070","0.000","[0.228, 0.502]","0.365***","Variances.EquitableEval"
"29","MultPerspectives","~~","MultPerspectives","0.227","0.039","0.000","[0.150, 0.304]","0.227***","0.363","0.068","0.000","[0.231, 0.496]","0.363***","Variances.MultPerspectives"
"30","DEIintegration","~~","DEIintegration","0.263","0.044","0.000","[0.177, 0.350]","0.263***","0.494","0.084","0.000","[0.331, 0.658]","0.494***","Variances.DEIintegration"
"31","ValObjectives","~~","ValObjectives","0.177","0.027","0.000","[0.123, 0.230]","0.177***","0.551","0.082","0.000","[0.391, 0.712]","0.551***","Variances.ValObjectives"
"32","IncrUnderstanding","~~","IncrUnderstanding","0.221","0.040","0.000","[0.142, 0.300]","0.221***","0.383","0.074","0.000","[0.238, 0.529]","0.383***","Variances.IncrUnderstanding"
"33","IncrInterest","~~","IncrInterest","0.322","0.071","0.000","[0.183, 0.461]","0.322***","0.307","0.072","0.000","[0.166, 0.449]","0.307***","Variances.IncrInterest"
"34","CTR","~~","CTR","0.244","0.033","0.000","[0.180, 0.307]","0.244***","1.000","0.000",NA,"[1.000, 1.000]","1.000","Variances.CTR"
"35","TrP","~~","TrP","0.249","0.047","0.000","[0.156, 0.341]","0.249***","1.000","0.000",NA,"[1.000, 1.000]","1.000","Variances.TrP"
"36","SRP","~~","SRP","0.283","0.056","0.000","[0.173, 0.393]","0.283***","1.000","0.000",NA,"[1.000, 1.000]","1.000","Variances.SRP"
"37","Val","~~","Val","0.144","0.038","0.000","[0.069, 0.219]","0.144***","1.000","0.000",NA,"[1.000, 1.000]","1.000","Variances.Val"
"38","CEN","~1","","0.420","0.047","0.000","[0.328, 0.511]","0.420***","0.850","0.110","0.000","[0.634, 1.066]","0.850***","Means.CEN"
"39","ClearResponsibilities","~1","","4.616","0.057","0.000","[4.505, 4.727]","4.616***","7.677","0.522","0.000","[6.655, 8.699]","7.677***","Means.ClearResponsibilities"
"40","EffectiveAnswers","~1","","4.526","0.064","0.000","[4.400, 4.653]","4.526***","6.643","0.454","0.000","[5.753, 7.533]","6.643***","Means.EffectiveAnswers"
"41","Feedback","~1","","4.384","0.071","0.000","[4.246, 4.522]","4.384***","5.869","0.403","0.000","[5.078, 6.660]","5.869***","Means.Feedback"
"42","ClearOrganization","~1","","4.223","0.086","0.000","[4.054, 4.392]","4.223***","4.624","0.323","0.000","[3.991, 5.257]","4.624***","Means.ClearOrganization"
"43","ClearPresentation","~1","","4.348","0.080","0.000","[4.192, 4.504]","4.348***","5.164","0.358","0.000","[4.463, 5.865]","5.164***","Means.ClearPresentation"
"44","InclusvClassrm","~1","","4.631","0.062","0.000","[4.510, 4.751]","4.631***","7.170","0.494","0.000","[6.203, 8.138]","7.170***","Means.InclusvClassrm"
"45","EquitableEval","~1","","4.661","0.053","0.000","[4.557, 4.764]","4.661***","8.325","0.564","0.000","[7.219, 9.430]","8.325***","Means.EquitableEval"
"46","MultPerspectives","~1","","4.466","0.075","0.000","[4.320, 4.613]","4.466***","5.651","0.390","0.000","[4.887, 6.415]","5.651***","Means.MultPerspectives"
"47","DEIintegration","~1","","4.544","0.071","0.000","[4.404, 4.684]","4.544***","6.228","0.451","0.000","[5.344, 7.112]","6.228***","Means.DEIintegration"
"48","ValObjectives","~1","","4.527","0.054","0.000","[4.422, 4.632]","4.527***","7.993","0.542","0.000","[6.930, 9.056]","7.993***","Means.ValObjectives"
"49","IncrUnderstanding","~1","","4.384","0.072","0.000","[4.243, 4.524]","4.384***","5.777","0.397","0.000","[4.998, 6.556]","5.777***","Means.IncrUnderstanding"
"50","IncrInterest","~1","","3.929","0.097","0.000","[3.739, 4.118]","3.929***","3.837","0.273","0.000","[3.301, 4.372]","3.837***","Means.IncrInterest"
"51","CTR","~1","","0.000","0.000",NA,"[0.000, 0.000]","0.000","0.000","0.000",NA,"[0.000, 0.000]","0.000","Means.CTR"
"52","TrP","~1","","0.000","0.000",NA,"[0.000, 0.000]","0.000","0.000","0.000",NA,"[0.000, 0.000]","0.000","Means.TrP"
"53","SRP","~1","","0.000","0.000",NA,"[0.000, 0.000]","0.000","0.000","0.000",NA,"[0.000, 0.000]","0.000","Means.SRP"
"54","Val","~1","","0.000","0.000",NA,"[0.000, 0.000]","0.000","0.000","0.000",NA,"[0.000, 0.000]","0.000","Means.Val"
