"","lhs","op","rhs","est","se","pval","confint","est_sig","est_std","se_std","pval_std","confint_std","est_sig_std","label"
"1","CTR","=~","CEN","1.000","0.000",NA,"[1.000, 1.000]","1.000","1.000","0.000",NA,"[1.000, 1.000]","1.000","CTR.BY.CEN"
"2","TrP","=~","p1T","1.000","0.000",NA,"[1.000, 1.000]","1.000","0.928","0.021","0.000","[0.887, 0.970]","0.928***","TrP.BY.p1T"
"3","TrP","=~","p2T","0.895","0.074","0.000","[0.750, 1.039]","0.895***","0.822","0.035","0.000","[0.753, 0.891]","0.822***","TrP.BY.p2T"
"4","TrP","=~","p3T","0.743","0.062","0.000","[0.621, 0.864]","0.743***","0.812","0.037","0.000","[0.740, 0.883]","0.812***","TrP.BY.p3T"
"5","SRP","=~","p1S","1.000","0.000",NA,"[1.000, 1.000]","1.000","0.907","0.030","0.000","[0.848, 0.966]","0.907***","SRP.BY.p1S"
"6","SRP","=~","p2S","1.265","0.129","0.000","[1.012, 1.518]","1.265***","0.792","0.045","0.000","[0.705, 0.879]","0.792***","SRP.BY.p2S"
"7","SRP","=~","p3S","1.031","0.129","0.000","[0.778, 1.283]","1.031***","0.700","0.058","0.000","[0.586, 0.813]","0.700***","SRP.BY.p3S"
"8","Val","=~","p1V","1.000","0.000",NA,"[1.000, 1.000]","1.000","0.676","0.060","0.000","[0.558, 0.795]","0.676***","Val.BY.p1V"
"9","Val","=~","p2V","1.544","0.227","0.000","[1.100, 1.988]","1.544***","0.780","0.048","0.000","[0.686, 0.873]","0.780***","Val.BY.p2V"
"10","Val","=~","p3V","2.223","0.311","0.000","[1.612, 2.833]","2.223***","0.832","0.043","0.000","[0.747, 0.916]","0.832***","Val.BY.p3V"
"11","CTR","~~","CEN","0.000","0.000",NA,"[0.000, 0.000]","0.000",NA,NA,NA,NA,NA,"CTR.WITH.CEN"
"12","CTR","~~","TrP","-0.075","0.033","0.026","[-0.140, -0.009]","-0.075*","-0.230","0.095","0.015","[-0.417, -0.044]","-0.230*","CTR.WITH.TrP"
"13","CTR","~~","SRP","-0.029","0.025","0.239","[-0.078, 0.019]","-0.029","-0.120","0.100","0.228","[-0.316, 0.075]","-0.120","CTR.WITH.SRP"
"14","CTR","~~","Val","-0.040","0.021","0.050","[-0.081, -0.000]","-0.040*","-0.214","0.100","0.033","[-0.410, -0.017]","-0.214*","CTR.WITH.Val"
"15","TrP","~~","SRP","0.285","0.045","0.000","[0.196, 0.374]","0.285***","0.877","0.038","0.000","[0.803, 0.951]","0.877***","TrP.WITH.SRP"
"16","TrP","~~","Val","0.221","0.043","0.000","[0.137, 0.306]","0.221***","0.879","0.043","0.000","[0.795, 0.963]","0.879***","TrP.WITH.Val"
"17","SRP","~~","Val","0.130","0.028","0.000","[0.074, 0.186]","0.130***","0.685","0.070","0.000","[0.548, 0.822]","0.685***","SRP.WITH.Val"
