"","lhs","op","rhs","est","se","pval","confint","est_sig","est_std","se_std","pval_std","confint_std","est_sig_std","block","group","label","lavaan_label"
"1","TradPed","=~","ClearResponsibilities","1.000","0.000",NA,"[1.000, 1.000]","1.000","0.800","0.026","0.000","[0.749, 0.851]","0.800***","1.000","CPY","TradPed.BY.ClearResponsibilities.CPY",""
"2","TradPed","=~","EffectiveAnswers","1.040","0.066","0.000","[0.910, 1.170]","1.040***","0.810","0.025","0.000","[0.761, 0.859]","0.810***","1.000","CPY","TradPed.BY.EffectiveAnswers.CPY",".p2."
"3","TradPed","=~","Feedback","1.010","0.077","0.000","[0.860, 1.161]","1.010***","0.706","0.034","0.000","[0.639, 0.773]","0.706***","1.000","CPY","TradPed.BY.Feedback.CPY",".p3."
"4","TradPed","=~","ClearOrganization","1.300","0.088","0.000","[1.128, 1.472]","1.300***","0.773","0.028","0.000","[0.718, 0.829]","0.773***","1.000","CPY","TradPed.BY.ClearOrganization.CPY",".p4."
"5","TradPed","=~","ClearPresentation","1.231","0.073","0.000","[1.087, 1.375]","1.231***","0.848","0.021","0.000","[0.807, 0.890]","0.848***","1.000","CPY","TradPed.BY.ClearPresentation.CPY",".p5."
"6","Valued","=~","ValObjectives","1.000","0.000",NA,"[1.000, 1.000]","1.000","0.571","0.049","0.000","[0.475, 0.667]","0.571***","1.000","CPY","Valued.BY.ValObjectives.CPY",""
"7","Valued","=~","IncrUnderstanding","2.004","0.226","0.000","[1.560, 2.447]","2.004***","0.819","0.029","0.000","[0.762, 0.876]","0.819***","1.000","CPY","Valued.BY.IncrUnderstanding.CPY",".p7."
"8","Valued","=~","IncrInterest","2.390","0.268","0.000","[1.865, 2.914]","2.390***","0.834","0.028","0.000","[0.780, 0.889]","0.834***","1.000","CPY","Valued.BY.IncrInterest.CPY",".p8."
"9","SCRPed","=~","MultPerspectives","1.000","0.000",NA,"[1.000, 1.000]","1.000","0.843","0.027","0.000","[0.790, 0.895]","0.843***","1.000","CPY","SCRPed.BY.MultPerspectives.CPY",""
"10","SCRPed","=~","InclusvClassrm","0.622","0.053","0.000","[0.518, 0.726]","0.622***","0.678","0.040","0.000","[0.601, 0.756]","0.678***","1.000","CPY","SCRPed.BY.InclusvClassrm.CPY",".p10."
"11","SCRPed","=~","DEIintegration","0.591","0.063","0.000","[0.468, 0.714]","0.591***","0.566","0.047","0.000","[0.473, 0.659]","0.566***","1.000","CPY","SCRPed.BY.DEIintegration.CPY",".p11."
"12","SCRPed","=~","EquitableEval","0.644","0.052","0.000","[0.543, 0.745]","0.644***","0.716","0.037","0.000","[0.644, 0.788]","0.716***","1.000","CPY","SCRPed.BY.EquitableEval.CPY",".p12."
"13","TradPed","~~","Valued","0.185","0.029","0.000","[0.128, 0.242]","0.185***","0.873","0.031","0.000","[0.812, 0.933]","0.873***","1.000","CPY","TradPed.WITH.Valued.CPY",""
"14","TradPed","~~","SCRPed","0.374","0.048","0.000","[0.280, 0.468]","0.374***","0.869","0.031","0.000","[0.808, 0.929]","0.869***","1.000","CPY","TradPed.WITH.SCRPed.CPY",""
"15","Valued","~~","SCRPed","0.166","0.029","0.000","[0.109, 0.223]","0.166***","0.675","0.054","0.000","[0.568, 0.781]","0.675***","1.000","CPY","Valued.WITH.SCRPed.CPY",""
"16","ClearResponsibilities","~~","ClearResponsibilities","0.209","0.021","0.000","[0.167, 0.251]","0.209***","0.360","0.041","0.000","[0.279, 0.441]","0.360***","1.000","CPY","Variances.ClearResponsibilities.CPY",".p16."
"17","EffectiveAnswers","~~","EffectiveAnswers","0.211","0.022","0.000","[0.168, 0.254]","0.211***","0.344","0.041","0.000","[0.265, 0.424]","0.344***","1.000","CPY","Variances.EffectiveAnswers.CPY",".p17."
"18","Feedback","~~","Feedback","0.381","0.036","0.000","[0.311, 0.452]","0.381***","0.501","0.048","0.000","[0.407, 0.596]","0.501***","1.000","CPY","Variances.Feedback.CPY",".p18."
"19","ClearOrganization","~~","ClearOrganization","0.422","0.042","0.000","[0.340, 0.504]","0.422***","0.402","0.044","0.000","[0.316, 0.488]","0.402***","1.000","CPY","Variances.ClearOrganization.CPY",".p19."
"20","ClearPresentation","~~","ClearPresentation","0.219","0.024","0.000","[0.171, 0.267]","0.219***","0.280","0.036","0.000","[0.209, 0.351]","0.280***","1.000","CPY","Variances.ClearPresentation.CPY",".p20."
"21","ValObjectives","~~","ValObjectives","0.250","0.023","0.000","[0.204, 0.295]","0.250***","0.674","0.056","0.000","[0.564, 0.783]","0.674***","1.000","CPY","Variances.ValObjectives.CPY",".p21."
"22","IncrUnderstanding","~~","IncrUnderstanding","0.238","0.030","0.000","[0.178, 0.297]","0.238***","0.329","0.048","0.000","[0.236, 0.422]","0.329***","1.000","CPY","Variances.IncrUnderstanding.CPY",".p22."
