"PA1","PA2","PA3","PA4"
-0.029,0.105,0.696,-0.008
0.135,-0.019,0.431,0.28
0.092,-0.012,0.451,0.054
0.164,0.022,0.268,0.145
0.11,0.013,0.403,0.112
0.061,-0.018,0.458,-0.074
-0.082,0.133,0.347,0.282
0.109,-0.018,0.42,-0.054
0.106,-0.054,0.132,0.499
0.04,-0.067,0.375,-0.078
0.067,0.614,0.079,0.046
0.224,0.52,0.029,-0.041
-0.075,0.727,-0.052,0
0.048,0.568,0.057,0.008
0.097,0.484,0.033,0.082
0.02,0.55,0.102,-0.104
0.07,0.469,-0.017,-0.053
0.667,0.045,-0.019,0.041
0.622,-0.003,0.125,-0.146
0.451,0.135,0.107,-0.117
0.637,-0.02,0.094,-0.158
0.749,-0.112,0.026,-0.007
0.719,0.107,-0.066,0.134
0.627,0.168,-0.027,0.163
0.621,0.113,0.104,0.043
