"PA3","PA1","PA2","PA4"
0.232,0.157,0.643,0.186
0.142,0.209,0.407,0.421
0.121,0.175,0.435,0.193
0.148,0.204,0.287,0.255
0.145,0.186,0.395,0.245
0.096,0.148,0.444,0.06
0.186,0.046,0.281,0.374
0.107,0.179,0.423,0.08
0.051,0.113,0.097,0.546
0.024,0.1,0.354,0.022
0.626,0.225,0.179,0.173
0.581,0.32,0.18,0.095
0.649,0.104,0.034,0.078
0.569,0.192,0.149,0.119
0.507,0.208,0.124,0.184
0.542,0.172,0.19,0.01
0.464,0.169,0.081,0.029
0.296,0.564,0.203,0.194
0.251,0.544,0.333,0.029
0.314,0.431,0.277,0.035
0.233,0.545,0.307,0.01
0.185,0.603,0.253,0.153
0.372,0.614,0.177,0.295
0.404,0.561,0.188,0.322
0.368,0.57,0.311,0.228
