,Ordinary,Standardized,
 
,Estimate,SE,p-value,Estimate,

,Factor Loadings,
 GRMSAAW,

Others expect me to be submissive,1.00+,,,0.53,

Others have been surprised when I disagree with them,1.07**,0.15,.000,0.52,

Others take my silence as a sign of compliance,1.02**,0.14,.000,0.53,

Others have been surprised when I do things independent of my family,0.91**,0.14,.000,0.48,

Others have implied that AAW seem content for being a subordinate,1.18**,0.15,.000,0.59,

Others treat me as if I will always comply with their requests,0.72**,0.11,.000,0.48,

Others expect me to sacrifice my own needs to take care of others (eg family partner) ecause I am an AAW,0.91**,0.14,.000,0.49,

Others have hinted that AAW are not assertive enough to be leaders,0.93**,0.14,.000,0.49,

Others have hinted that AAW seem to have no desire for leadership,0.74**,0.12,.000,0.44,

Others express sexual interest in me because of my Asian appearance,0.68**,0.12,.000,0.37,

Others take sexual interest in AAW to fulfill their fantasy,0.98**,0.14,.000,0.49,

Others take romantic interest in AAW just because they never had sex with an AAW before,0.56**,0.12,.000,0.31,

Others have treated me as if I am always open to sexual advances,0.85**,0.14,.000,0.42,

I see non-Asian women being casted to play female Asian characters,0.74**,0.12,.000,0.44,

I rarely see AAW playing the lead role in the media,0.64**,0.12,.000,0.36,

I rarely see AAW in the media,0.86**,0.15,.000,0.41,

I see AAW playing the same type of characters (eg Kung Fu woman sidekick mistress tiger mom) in the media,0.60**,0.13,.000,0.31,

I see AAW charaters being portrayed as emotionally distanct (eg cold-hearted lack of empathy) in the media,0.66**,0.12,.000,0.36,

Others have talked about AAW as if they all have the same facial features (eg eye shape skin tone),0.83**,0.14,.000,0.40,

Others have suggested that all AAW look alike,0.88**,0.13,.000,0.48,

Others have talked about AAW as if they all have the same body type (eg petite tiny small-chested,0.71**,0.12,.000,0.43,

Others have pointed out physical traits in AAW that do not look 'Asian',1.06**,0.15,.000,0.55,

,Intercepts,

Others expect me to be submissive,,,,0.00,

Others have been surprised when I disagree with them,,,,-0.00,

Others take my silence as a sign of compliance,,,,0.00,

Others have been surprised when I do things independent of my family,,,,-0.00,

Others have implied that AAW seem content for being a subordinate,,,,-0.00,

Others treat me as if I will always comply with their requests,,,,-0.00,

Others expect me to sacrifice my own needs to take care of others (eg family partner) ecause I am an AAW,,,,0.00,

Others have hinted that AAW are not assertive enough to be leaders,,,,-0.00,

Others have hinted that AAW seem to have no desire for leadership,,,,-0.00,

Others express sexual interest in me because of my Asian appearance,,,,-0.00,

Others take sexual interest in AAW to fulfill their fantasy,,,,0.00,

Others take romantic interest in AAW just because they never had sex with an AAW before,,,,0.00,

Others have treated me as if I am always open to sexual advances,,,,-0.00,

I see non-Asian women being casted to play female Asian characters,,,,0.00,

I rarely see AAW playing the lead role in the media,,,,-0.00,

I rarely see AAW in the media,,,,-0.00,

I see AAW playing the same type of characters (eg Kung Fu woman sidekick mistress tiger mom) in the media,,,,0.00,

I see AAW charaters being portrayed as emotionally distanct (eg cold-hearted lack of empathy) in the media,,,,0.00,

Others have talked about AAW as if they all have the same facial features (eg eye shape skin tone),,,,-0.00,

Others have suggested that all AAW look alike,,,,0.00,

Others have talked about AAW as if they all have the same body type (eg petite tiny small-chested,,,,0.00,

Others have pointed out physical traits in AAW that do not look 'Asian',,,,-0.00,

,Residual Variances,

Others expect me to be submissive,0.60**,0.05,.000,0.71,

Others have been surprised when I disagree with them,0.74**,0.06,.000,0.73,

Others take my silence as a sign of compliance,0.63**,0.05,.000,0.71,

Others have been surprised when I do things independent of my family,0.66**,0.06,.000,0.76,

Others have implied that AAW seem content for being a subordinate,0.62**,0.06,.000,0.65,

Others treat me as if I will always comply with their requests,0.41**,0.04,.000,0.76,

Others expect me to sacrifice my own needs to take care of others (eg family partner) ecause I am an AAW,0.65**,0.06,.000,0.76,

Others have hinted that AAW are not assertive enough to be leaders,0.64**,0.05,.000,0.75,

Others have hinted that AAW seem to have no desire for leadership,0.53**,0.04,.000,0.80,

Others express sexual interest in me because of my Asian appearance,0.69**,0.06,.000,0.86,

Others take sexual interest in AAW to fulfill their fantasy,0.71**,0.06,.000,0.75,

Others take romantic interest in AAW just because they never had sex with an AAW before,0.71**,0.06,.000,0.90,

Others have treated me as if I am always open to sexual advances,0.79**,0.07,.000,0.82,

I see non-Asian women being casted to play female Asian characters,0.56**,0.05,.000,0.81,

I rarely see AAW playing the lead role in the media,0.68**,0.06,.000,0.87,

I rarely see AAW in the media,0.87**,0.07,.000,0.83,

I see AAW playing the same type of characters (eg Kung Fu woman sidekick mistress tiger mom) in the media,0.84**,0.07,.000,0.90,

I see AAW charaters being portrayed as emotionally distanct (eg cold-hearted lack of empathy) in the media,0.67**,0.06,.000,0.86,

Others have talked about AAW as if they all have the same facial features (eg eye shape skin tone),0.87**,0.07,.000,0.84,

Others have suggested that all AAW look alike,0.61**,0.05,.000,0.76,

Others have talked about AAW as if they all have the same body type (eg petite tiny small-chested,0.55**,0.05,.000,0.82,

Others have pointed out physical traits in AAW that do not look 'Asian',0.63**,0.06,.000,0.70,

,Latent Intercepts,

GRMSAAW,,,,0.00+,

,Latent Variances,

GRMSAAW,0.24**,0.05,.000,1.00+,

,Fit Indices,

chi^2,444.45(209)**,,.000,444.45(209),

DF,209.00,,,209.00,

PVALUE,0.00,,,0.00,

CFI,0.81,,,0.81,

RMSEA,0.06,,,0.06,

RMSEA.CI.LOWER,0.05,,,0.05,

RMSEA.CI.UPPER,0.07,,,0.07,

SRMR,0.07,,,0.06,

AIC,16862.03,,,18094.82,

BIC,17025.58,,,18340.14,

+Fixed parameter,



