,Single Dimension,Multidimensional,
 
,Estimate,SE,p-value,Estimate,SE,p-value,

,Factor Loadings,
 GRMSAAW,

Others expect me to be submissive,1.00+,,,,,,

Others have been surprised when I disagree with them,1.07**,0.15,.000,,,,

Others take my silence as a sign of compliance,1.02**,0.14,.000,,,,

Others have been surprised when I do things independent of my family,0.91**,0.14,.000,,,,

Others have implied that AAW seem content for being a subordinate,1.18**,0.15,.000,,,,

Others treat me as if I will always comply with their requests,0.72**,0.11,.000,,,,

Others expect me to sacrifice my own needs to take care of others (eg family partner) ecause I am an AAW,0.91**,0.14,.000,,,,

Others have hinted that AAW are not assertive enough to be leaders,0.93**,0.14,.000,,,,

Others have hinted that AAW seem to have no desire for leadership,0.74**,0.12,.000,,,,

Others express sexual interest in me because of my Asian appearance,0.68**,0.12,.000,,,,

Others take sexual interest in AAW to fulfill their fantasy,0.98**,0.14,.000,,,,

Others take romantic interest in AAW just because they never had sex with an AAW before,0.56**,0.12,.000,,,,

Others have treated me as if I am always open to sexual advances,0.85**,0.14,.000,,,,

I see non-Asian women being casted to play female Asian characters,0.74**,0.12,.000,,,,

I rarely see AAW playing the lead role in the media,0.64**,0.12,.000,,,,

I rarely see AAW in the media,0.86**,0.15,.000,,,,

I see AAW playing the same type of characters (eg Kung Fu woman sidekick mistress tiger mom) in the media,0.60**,0.13,.000,,,,

I see AAW charaters being portrayed as emotionally distanct (eg cold-hearted lack of empathy) in the media,0.66**,0.12,.000,,,,

Others have talked about AAW as if they all have the same facial features (eg eye shape skin tone),0.83**,0.14,.000,,,,

Others have suggested that all AAW look alike,0.88**,0.13,.000,,,,

Others have talked about AAW as if they all have the same body type (eg petite tiny small-chested,0.71**,0.12,.000,,,,

Others have pointed out physical traits in AAW that do not look 'Asian',1.06**,0.15,.000,,,,

 AS,

Others expect me to be submissive,,,,1.00+,,,

Others have been surprised when I disagree with them,,,,1.13**,0.14,.000,

Others take my silence as a sign of compliance,,,,0.96**,0.12,.000,

Others have been surprised when I do things independent of my family,,,,0.90**,0.12,.000,

Others have implied that AAW seem content for being a subordinate,,,,1.15**,0.13,.000,

Others treat me as if I will always comply with their requests,,,,0.67**,0.09,.000,

Others expect me to sacrifice my own needs to take care of others (eg family partner) ecause I am an AAW,,,,0.83**,0.12,.000,

Others have hinted that AAW are not assertive enough to be leaders,,,,0.90**,0.12,.000,

Others have hinted that AAW seem to have no desire for leadership,,,,0.76**,0.10,.000,

 AF,

Others express sexual interest in me because of my Asian appearance,,,,1.00+,,,

Others take sexual interest in AAW to fulfill their fantasy,,,,1.19**,0.17,.000,

Others take romantic interest in AAW just because they never had sex with an AAW before,,,,0.74**,0.14,.000,

Others have treated me as if I am always open to sexual advances,,,,1.14**,0.17,.000,

 MI,

I see non-Asian women being casted to play female Asian characters,,,,1.00+,,,

I rarely see AAW playing the lead role in the media,,,,0.92**,0.15,.000,

I rarely see AAW in the media,,,,1.17**,0.18,.000,

I see AAW playing the same type of characters (eg Kung Fu woman sidekick mistress tiger mom) in the media,,,,0.92**,0.16,.000,

I see AAW charaters being portrayed as emotionally distanct (eg cold-hearted lack of empathy) in the media,,,,0.69**,0.14,.000,

 AUA,

Others have talked about AAW as if they all have the same facial features (eg eye shape skin tone),,,,1.00+,,,

Others have suggested that all AAW look alike,,,,0.98**,0.14,.000,

Others have talked about AAW as if they all have the same body type (eg petite tiny small-chested,,,,0.78**,0.12,.000,

Others have pointed out physical traits in AAW that do not look 'Asian',,,,1.08**,0.15,.000,

,Residual Variances,

Others expect me to be submissive,0.60**,0.05,.000,0.54**,0.05,.000,

Others have been surprised when I disagree with them,0.74**,0.06,.000,0.63**,0.06,.000,

Others take my silence as a sign of compliance,0.63**,0.05,.000,0.61**,0.05,.000,

Others have been surprised when I do things independent of my family,0.66**,0.06,.000,0.61**,0.05,.000,

Others have implied that AAW seem content for being a subordinate,0.62**,0.06,.000,0.56**,0.05,.000,

Others treat me as if I will always comply with their requests,0.41**,0.04,.000,0.40**,0.04,.000,

Others expect me to sacrifice my own needs to take care of others (eg family partner) ecause I am an AAW,0.65**,0.06,.000,0.64**,0.06,.000,

Others have hinted that AAW are not assertive enough to be leaders,0.64**,0.05,.000,0.60**,0.05,.000,

Others have hinted that AAW seem to have no desire for leadership,0.53**,0.04,.000,0.48**,0.04,.000,

Others express sexual interest in me because of my Asian appearance,0.69**,0.06,.000,0.55**,0.06,.000,

Others take sexual interest in AAW to fulfill their fantasy,0.71**,0.06,.000,0.58**,0.06,.000,

Others take romantic interest in AAW just because they never had sex with an AAW before,0.71**,0.06,.000,0.64**,0.06,.000,

Others have treated me as if I am always open to sexual advances,0.79**,0.07,.000,0.64**,0.07,.000,

I see non-Asian women being casted to play female Asian characters,0.56**,0.05,.000,0.47**,0.05,.000,

I rarely see AAW playing the lead role in the media,0.68**,0.06,.000,0.58**,0.05,.000,

I rarely see AAW in the media,0.87**,0.07,.000,0.73**,0.07,.000,

I see AAW playing the same type of characters (eg Kung Fu woman sidekick mistress tiger mom) in the media,0.84**,0.07,.000,0.73**,0.07,.000,

I see AAW charaters being portrayed as emotionally distanct (eg cold-hearted lack of empathy) in the media,0.67**,0.06,.000,0.67**,0.06,.000,

Others have talked about AAW as if they all have the same facial features (eg eye shape skin tone),0.87**,0.07,.000,0.73**,0.07,.000,

Others have suggested that all AAW look alike,0.61**,0.05,.000,0.50**,0.05,.000,

Others have talked about AAW as if they all have the same body type (eg petite tiny small-chested,0.55**,0.05,.000,0.49**,0.05,.000,

Others have pointed out physical traits in AAW that do not look 'Asian',0.63**,0.06,.000,0.55**,0.06,.000,

,Latent Variances,

GRMSAAW,0.24**,0.05,.000,,,,

AS,,,,0.30**,0.06,.000,

AF,,,,0.26**,0.06,.000,

MI,,,,0.23**,0.05,.000,

AUA,,,,0.31**,0.07,.000,

,Latent Covariances,

AS w/AF,,,,0.15**,0.03,.000,

AS w/MI,,,,0.14**,0.03,.000,

AS w/AUA,,,,0.18**,0.03,.000,

AF w/MI,,,,0.15**,0.03,.000,

AF w/AUA,,,,0.16**,0.03,.000,

MI w/AUA,,,,0.19**,0.04,.000,

,Fit Indices,

chi^2,444.45(209)**,,.000,232.45(203) ,,.076,

DF,209.00,,,203.00,,,

PVALUE,0.00,,,0.08,,,

CFI,0.81,,,0.98,,,

RMSEA,0.06,,,0.02,,,

RMSEA.CI.LOWER,0.05,,,0.00,,,

RMSEA.CI.UPPER,0.07,,,0.03,,,

SRMR,0.07,,,0.05,,,

AIC,16862.03,,,16662.03,,,

BIC,17025.58,,,16847.88,,,

+Fixed parameter,
*p<0.05, **p<0.01, **p<0.001,



