"PA2","PA1","PA3","PA4"
0.484,-0.018,0.09,0.07
0.546,0.026,0.072,-0.179
0.366,0.03,0.207,0.008
0.472,0.119,-0.065,0.051
0.342,0.265,0.032,-0.116
0.334,0.042,-0.059,0.108
0.401,0.088,0.13,0.13
0.59,-0.011,-0.099,0.012
0.341,0.047,0.009,-0.097
0.451,-0.08,0.053,0.135
-0.054,0.663,0.002,0.079
-0.051,0.508,0.179,-0.031
0.046,0.517,0.015,0.019
0.12,0.482,-0.083,0.123
0.03,0.532,0.035,-0.113
0.177,0.399,0.009,0.124
0.014,0.511,-0.068,-0.072
0.183,0.061,0.379,-0.136
0.206,-0.029,0.254,0.162
-0.027,0.044,0.529,0.086
0.032,0.038,0.333,-0.042
0.024,-0.053,0.42,0.003
-0.026,0.102,0.308,0.241
-0.012,0.127,0.08,0.401
0.101,0.123,0.118,0.375
