"PA2","PA1","PA3","PA4"
0.471,0.103,0.166,0.126
0.54,0.14,0.162,-0.111
0.385,0.136,0.265,0.088
0.472,0.206,0.038,0.104
0.396,0.318,0.13,-0.023
0.322,0.109,0.008,0.133
0.421,0.193,0.209,0.21
0.551,0.103,0.003,0.039
0.34,0.112,0.072,-0.055
0.42,0.037,0.116,0.167
0.105,0.612,0.104,0.218
0.094,0.486,0.247,0.112
0.169,0.495,0.108,0.138
0.218,0.471,0.022,0.22
0.159,0.5,0.124,0.012
0.265,0.419,0.107,0.228
0.126,0.466,0.021,0.026
0.239,0.14,0.402,-0.029
0.222,0.062,0.276,0.225
0.051,0.114,0.512,0.202
0.082,0.086,0.331,0.037
0.064,0.014,0.398,0.08
0.037,0.147,0.313,0.324
0.026,0.15,0.102,0.443
0.139,0.175,0.157,0.434
