"RC1","RC2","RC3","RC4"
0.686,0.076,-0.1,-0.094
0.72,-0.095,-0.142,-0.001
0.654,-0.014,-0.035,0.174
0.651,0.018,0.002,0.001
0.614,-0.212,0.142,0.05
0.558,0.231,-0.109,0.082
0.583,0.241,0.051,-0.159
0.541,-0.041,0.147,-0.06
0.47,0.043,0.216,0.107
0.47,0.06,0.253,-0.098
0.056,0.888,-0.022,-0.083
-0.089,0.797,0.021,0.145
0.028,0.728,-0.08,0.023
0.158,0.691,-0.099,0.066
0.211,0.651,-0.153,0.015
-0.028,0.609,0.317,-0.253
-0.24,0.57,0.217,0.226
0.004,-0.03,0.613,0.266
0.063,-0.089,0.638,0.001
0.16,-0.099,0.604,-0.15
-0.058,0.006,0.656,0.278
0.042,0.171,0.559,-0.184
0.219,0.008,-0.133,0.747
-0.035,0.031,0.134,0.771
-0.11,0.097,0.061,0.775
