"","lhs","op","rhs","est","se","pval","confint","est_sig","est_std","se_std","pval_std","confint_std","est_sig_std","block","group","label","lavaan_label"
"1","Helplessness","=~","Help1","1.000","0.000",NA,"[1.000, 1.000]","1.000","0.438","0.030","0.000","[0.380, 0.496]","0.438***","1.000","Mild","Helplessness.BY.Help1.Mild",""
"2","Helplessness","=~","Help2","1.383","0.107","0.000","[1.173, 1.593]","1.383***","0.560","0.029","0.000","[0.504, 0.616]","0.560***","1.000","Mild","Helplessness.BY.Help2.Mild",".p2."
"3","Helplessness","=~","Help3","1.212","0.102","0.000","[1.011, 1.413]","1.212***","0.472","0.029","0.000","[0.414, 0.529]","0.472***","1.000","Mild","Helplessness.BY.Help3.Mild",".p3."
"4","Helplessness","=~","Help4","1.299","0.105","0.000","[1.093, 1.504]","1.299***","0.515","0.029","0.000","[0.458, 0.572]","0.515***","1.000","Mild","Helplessness.BY.Help4.Mild",".p4."
"5","Helplessness","=~","Help5","1.477","0.113","0.000","[1.255, 1.699]","1.477***","0.574","0.028","0.000","[0.518, 0.630]","0.574***","1.000","Mild","Helplessness.BY.Help5.Mild",".p5."
"6","Minimization","=~","Min1","1.000","0.000",NA,"[1.000, 1.000]","1.000","0.520","0.048","0.000","[0.425, 0.614]","0.520***","1.000","Mild","Minimization.BY.Min1.Mild",""
"7","Minimization","=~","Min2","0.841","0.119","0.000","[0.607, 1.075]","0.841***","0.440","0.046","0.000","[0.350, 0.530]","0.440***","1.000","Mild","Minimization.BY.Min2.Mild",".p7."
"8","Minimization","=~","Min3","0.738","0.110","0.000","[0.523, 0.954]","0.738***","0.391","0.045","0.000","[0.303, 0.480]","0.391***","1.000","Mild","Minimization.BY.Min3.Mild",".p8."
"9","DenialPersonhood","=~","Per1","1.000","0.000",NA,"[1.000, 1.000]","1.000","0.518","0.030","0.000","[0.460, 0.575]","0.518***","1.000","Mild","DenialPersonhood.BY.Per1.Mild",""
"10","DenialPersonhood","=~","Per2","1.030","0.072","0.000","[0.888, 1.172]","1.030***","0.596","0.028","0.000","[0.540, 0.652]","0.596***","1.000","Mild","DenialPersonhood.BY.Per2.Mild",".p10."
"11","DenialPersonhood","=~","Per3","1.033","0.073","0.000","[0.890, 1.177]","1.033***","0.588","0.029","0.000","[0.532, 0.644]","0.588***","1.000","Mild","DenialPersonhood.BY.Per3.Mild",".p11."
"12","DenialPersonhood","=~","Per4","0.819","0.068","0.000","[0.685, 0.952]","0.819***","0.456","0.030","0.000","[0.397, 0.515]","0.456***","1.000","Mild","DenialPersonhood.BY.Per4.Mild",".p12."
