,Mild,Severe,
 
,Estimate,SE,z,p-value,Estimate,SE,z,p-value,

,Factor Loadings,
 Helplessness,

People feel they need to do something to help me because I have a disability,1.00+,,,,1.00+,,,,

People express admiration for me or describe me as inspirational simply because I live with a disability,1.04,0.08,12.19,.000,1.04,0.08,12.19,.000,

People express pity for me because I have a disability,0.92,0.09,10.76,.000,0.92,0.09,10.76,.000,

People do not expect me to have a job or volunteer activities because I have a disability,0.80,0.08,10.29,.000,0.80,0.08,10.29,.000,

People offer me unsolicited unwanted or unneeded help because I have a disability,1.08,0.09,11.56,.000,1.08,0.09,11.56,.000,

 Minimization,

People are unwilling to accept that I have a disability because I appear able-bodied,1.00+,,,,1.00+,,,,

People minimize my disability or suggest that it could be worse,0.61,0.11,5.69,.000,0.61,0.11,5.69,.000,

People act as if accomodations for my disability are unnecessary,0.58,0.10,5.67,.000,0.58,0.10,5.67,.000,

 DenialPersonhood,

People don't see me as a whole person because I have a disability,1.00+,,,,1.00+,,,,

People act as if I am nothing more than my disability,1.26,0.11,11.65,.000,1.26,0.11,11.65,.000,

People speak to me as if I am a child or do not take me seriously because I have a disability,0.94,0.09,10.90,.000,0.94,0.09,10.90,.000,

People assume I have low intelligence because I have a disability,0.91,0.10,9.34,.000,0.91,0.10,9.34,.000,

Because I have a disability people attempt to make decisions fro me that I could make myself,0.83,0.09,8.78,.000,0.83,0.09,8.78,.000,

 Otherization,

People think I should not date or pursue sexual relationships because I have a disability,1.00+,,,,1.00+,,,,

People indicate they would not date a person with a disability,0.79,0.06,12.71,.000,0.79,0.06,12.71,.000,

People suggest that I cannot or should not have children because I have a disability,0.83,0.06,12.79,.000,0.83,0.06,12.79,.000,

People stare at me because I have a disability,0.61,0.06,9.96,.000,0.61,0.06,9.96,.000,

Because I have a disability people seem surprised to see me outside my home,0.49,0.06,8.51,.000,0.49,0.06,8.51,.000,

Because I have a disability people assume I have an extraordinary gift or talent,0.49,0.06,8.46,.000,0.49,0.06,8.46,.000,

People suggest that living with a disability would not be a worthwhile existence,0.45,0.06,6.95,.000,0.45,0.06,6.95,.000,

,Intercepts,

People feel they need to do something to help me because I have a disability,2.80,0.03,83.11,.000,2.80,0.03,83.11,.000,

People express admiration for me or describe me as inspirational simply because I live with a disability,2.45,0.03,75.75,.000,2.45,0.03,75.75,.000,

People express pity for me because I have a disability,2.28,0.03,67.27,.000,2.28,0.03,67.27,.000,

People do not expect me to have a job or volunteer activities because I have a disability,2.51,0.03,79.91,.000,2.51,0.03,79.91,.000,

People offer me unsolicited unwanted or unneeded help because I have a disability,2.24,0.04,62.43,.000,2.24,0.04,62.43,.000,

People are unwilling to accept that I have a disability because I appear able-bodied,2.39,0.03,69.77,.000,2.39,0.03,69.77,.000,

People minimize my disability or suggest that it could be worse,2.48,0.03,77.58,.000,2.48,0.03,77.58,.000,

People act as if accomodations for my disability are unnecessary,2.59,0.03,85.73,.000,2.59,0.03,85.73,.000,

People don't see me as a whole person because I have a disability,2.07,0.03,64.13,.000,2.07,0.03,64.13,.000,

People act as if I am nothing more than my disability,2.26,0.03,69.08,.000,2.26,0.03,69.08,.000,

People speak to me as if I am a child or do not take me seriously because I have a disability,2.33,0.03,85.27,.000,2.33,0.03,85.27,.000,

People assume I have low intelligence because I have a disability,2.67,0.03,81.34,.000,2.67,0.03,81.34,.000,

Because I have a disability people attempt to make decisions fro me that I could make myself,2.23,0.03,69.60,.000,2.23,0.03,69.60,.000,

People think I should not date or pursue sexual relationships because I have a disability,2.77,0.04,78.56,.000,2.77,0.04,78.56,.000,

People indicate they would not date a person with a disability,2.65,0.03,83.74,.000,2.65,0.03,83.74,.000,

People suggest that I cannot or should not have children because I have a disability,2.71,0.03,83.89,.000,2.71,0.03,83.89,.000,

People stare at me because I have a disability,2.70,0.03,87.11,.000,2.70,0.03,87.11,.000,

Because I have a disability people seem surprised to see me outside my home,2.71,0.03,92.22,.000,2.71,0.03,92.22,.000,

Because I have a disability people assume I have an extraordinary gift or talent,2.68,0.03,91.43,.000,2.68,0.03,91.43,.000,

People suggest that living with a disability would not be a worthwhile existence,2.58,0.03,79.22,.000,2.58,0.03,79.22,.000,

,Residual Variances,

People feel they need to do something to help me because I have a disability,0.53,0.04,14.22,.000,0.58,0.06,10.40,.000,

People express admiration for me or describe me as inspirational simply because I live with a disability,0.46,0.03,13.63,.000,0.36,0.04,9.25,.000,

People express pity for me because I have a disability,0.61,0.04,14.85,.000,0.58,0.05,10.64,.000,

People do not expect me to have a job or volunteer activities because I have a disability,0.56,0.04,15.16,.000,0.51,0.05,10.81,.000,

People offer me unsolicited unwanted or unneeded help because I have a disability,0.61,0.04,14.19,.000,0.58,0.06,10.17,.000,

People are unwilling to accept that I have a disability because I appear able-bodied,0.43,0.05,7.90,.000,0.53,0.07,7.66,.000,

People minimize my disability or suggest that it could be worse,0.62,0.04,14.43,.000,0.51,0.05,10.55,.000,

People act as if accomodations for my disability are unnecessary,0.54,0.04,14.27,.000,0.52,0.05,10.71,.000,

People don't see me as a whole person because I have a disability,0.53,0.04,14.92,.000,0.52,0.05,10.84,.000,

People act as if I am nothing more than my disability,0.36,0.03,12.57,.000,0.44,0.04,9.75,.000,

People speak to me as if I am a child or do not take me seriously because I have a disability,0.32,0.02,14.04,.000,0.38,0.04,10.58,.000,

People assume I have low intelligence because I have a disability,0.59,0.04,15.33,.000,0.65,0.06,11.23,.000,

Because I have a disability people attempt to make decisions fro me that I could make myself,0.60,0.04,15.58,.000,0.66,0.06,11.37,.000,

People think I should not date or pursue sexual relationships because I have a disability,0.47,0.04,12.90,.000,0.42,0.04,9.39,.000,

People indicate they would not date a person with a disability,0.48,0.03,14.34,.000,0.44,0.04,10.45,.000,

People suggest that I cannot or should not have children because I have a disability,0.47,0.03,14.09,.000,0.52,0.05,10.59,.000,

People stare at me because I have a disability,0.59,0.04,15.52,.000,0.59,0.05,11.30,.000,

Because I have a disability people seem surprised to see me outside my home,0.62,0.04,15.92,.000,0.52,0.05,11.47,.000,

Because I have a disability people assume I have an extraordinary gift or talent,0.58,0.04,15.89,.000,0.57,0.05,11.52,.000,

People suggest that living with a disability would not be a worthwhile existence,0.75,0.05,16.12,.000,0.80,0.07,11.69,.000,

,Latent Intercepts,

Helplessness,0.00+,,,,0.25,0.05,5.40,.000,

Minimization,0.00+,,,,0.27,0.06,4.97,.000,

DenialPersonhood,0.00+,,,,0.18,0.04,4.72,.000,

Otherization,0.00+,,,,0.02,0.05,0.41,.685,

,Latent Variances,

Helplessness,0.22,0.03,6.95,.000,0.27,0.04,6.13,.000,

Minimization,0.25,0.05,4.65,.000,0.21,0.06,3.47,.001,

DenialPersonhood,0.18,0.03,6.38,.000,0.15,0.03,5.33,.000,

Otherization,0.33,0.04,8.21,.000,0.36,0.05,6.95,.000,

,Latent Covariances,

Helplessness w/Minimization,0.05,0.02,2.78,.005,0.10,0.03,3.61,.000,

Helplessness w/DenialPersonhood,0.15,0.02,7.75,.000,0.13,0.02,5.63,.000,

Helplessness w/Otherization,0.17,0.02,7.84,.000,0.22,0.03,6.65,.000,

Minimization w/DenialPersonhood,0.09,0.02,4.74,.000,0.07,0.02,3.11,.002,

Minimization w/Otherization,0.10,0.02,4.28,.000,0.11,0.03,3.32,.001,

DenialPersonhood w/Otherization,0.19,0.02,8.34,.000,0.20,0.03,7.02,.000,

,Fit Indices,

chi^2,325.82(360),,,.902,,,,,

DF,360.00,,,,,,,,

PVALUE,0.90,,,,,,,,

CFI,1.00,,,,,,,,

RMSEA,0.00,,,,,,,,

RMSEA.CI.LOWER,0.00,,,,,,,,

RMSEA.CI.UPPER,0.01,,,,,,,,

SRMR,0.04,,,,,,,,

AIC,39486.99,,,,,,,,

BIC,39959.49,,,,,,,,

+Fixed parameter,



