"","lhs","op","rhs","est","se","pval","confint","est_sig","est_std","se_std","pval_std","confint_std","est_sig_std","block","group","label","lavaan_label"
"1","Helplessness","=~","Help1","1.000","0.000",NA,"[1.000, 1.000]","1.000","0.452","0.031","0.000","[0.392, 0.512]","0.452***","1.000","Mild","Helplessness.BY.Help1.Mild",""
"2","Helplessness","=~","Help2","1.368","0.106","0.000","[1.160, 1.576]","1.368***","0.566","0.030","0.000","[0.507, 0.624]","0.566***","1.000","Mild","Helplessness.BY.Help2.Mild",".p2."
"3","Helplessness","=~","Help3","1.198","0.101","0.000","[1.000, 1.397]","1.198***","0.473","0.030","0.000","[0.413, 0.532]","0.473***","1.000","Mild","Helplessness.BY.Help3.Mild",".p3."
"4","Helplessness","=~","Help4","1.291","0.103","0.000","[1.089, 1.493]","1.291***","0.504","0.030","0.000","[0.446, 0.562]","0.504***","1.000","Mild","Helplessness.BY.Help4.Mild",".p4."
"5","Helplessness","=~","Help5","1.464","0.112","0.000","[1.245, 1.684]","1.464***","0.571","0.030","0.000","[0.513, 0.629]","0.571***","1.000","Mild","Helplessness.BY.Help5.Mild",".p5."
"6","Minimization","=~","Min1","1.000","0.000",NA,"[1.000, 1.000]","1.000","0.509","0.051","0.000","[0.410, 0.608]","0.509***","1.000","Mild","Minimization.BY.Min1.Mild",""
"7","Minimization","=~","Min2","0.851","0.120","0.000","[0.616, 1.086]","0.851***","0.432","0.047","0.000","[0.340, 0.525]","0.432***","1.000","Mild","Minimization.BY.Min2.Mild",".p7."
"8","Minimization","=~","Min3","0.748","0.111","0.000","[0.530, 0.966]","0.748***","0.389","0.046","0.000","[0.299, 0.480]","0.389***","1.000","Mild","Minimization.BY.Min3.Mild",".p8."
"9","DenialPersonhood","=~","Per1","1.000","0.000",NA,"[1.000, 1.000]","1.000","0.524","0.030","0.000","[0.464, 0.584]","0.524***","1.000","Mild","DenialPersonhood.BY.Per1.Mild",""
"10","DenialPersonhood","=~","Per2","1.044","0.074","0.000","[0.899, 1.188]","1.044***","0.625","0.029","0.000","[0.568, 0.682]","0.625***","1.000","Mild","DenialPersonhood.BY.Per2.Mild",".p10."
"11","DenialPersonhood","=~","Per3","1.036","0.074","0.000","[0.891, 1.180]","1.036***","0.600","0.029","0.000","[0.542, 0.657]","0.600***","1.000","Mild","DenialPersonhood.BY.Per3.Mild",".p11."
"12","DenialPersonhood","=~","Per4","0.817","0.068","0.000","[0.683, 0.951]","0.817***","0.463","0.031","0.000","[0.401, 0.524]","0.463***","1.000","Mild","DenialPersonhood.BY.Per4.Mild",".p12."
"13","DenialPersonhood","=~","Per5","0.786","0.072","0.000","[0.645, 0.928]","0.786***","0.423","0.032","0.000","[0.360, 0.486]","0.423***","1.000","Mild","DenialPersonhood.BY.Per5.Mild",".p13."
"14","Otherization","=~","Oth1","1.000","0.000",NA,"[1.000, 1.000]","1.000","0.591","0.030","0.000","[0.532, 0.651]","0.591***","1.000","Mild","Otherization.BY.Oth1.Mild",""
"15","Otherization","=~","Oth2","0.873","0.066","0.000","[0.743, 1.002]","0.873***","0.526","0.031","0.000","[0.466, 0.587]","0.526***","1.000","Mild","Otherization.BY.Oth2.Mild",".p15."
"16","Otherization","=~","Oth3","0.951","0.070","0.000","[0.815, 1.088]","0.951***","0.576","0.031","0.000","[0.516, 0.636]","0.576***","1.000","Mild","Otherization.BY.Oth3.Mild",".p16."
"17","Otherization","=~","Oth4","0.803","0.070","0.000","[0.667, 0.940]","0.803***","0.447","0.032","0.000","[0.384, 0.511]","0.447***","1.000","Mild","Otherization.BY.Oth4.Mild",".p17."
"18","Otherization","=~","Oth5","0.620","0.058","0.000","[0.507, 0.734]","0.620***","0.397","0.032","0.000","[0.334, 0.461]","0.397***","1.000","Mild","Otherization.BY.Oth5.Mild",".p18."
